season,team,games,wins,losses,win_pct,pts_for,pts_against,pt_diff,td,xpa,xpm,fga,fgm,safeties,td_pg,pts_pg
2022,Michigan,14,13,1,0.929,566.0,225.0,341.0,68.0,63.0,63.0,35.0,29.0,0.0,4.86,40.43
2022,Ohio State,13,11,2,0.846,575.0,273.0,302.0,75.0,75.0,74.0,20.0,17.0,0.0,5.77,44.23
2022,Tennessee,13,11,2,0.846,599.0,296.0,303.0,79.0,78.0,75.0,20.0,16.0,0.0,6.08,46.08
2022,Texas Christian,15,13,2,0.867,582.0,435.0,147.0,76.0,71.0,68.0,21.0,18.0,0.0,5.07,38.8
2022,USC,14,11,3,0.786,579.0,409.0,170.0,76.0,74.0,74.0,22.0,15.0,1.0,5.43,41.36
2022,Utah,14,10,4,0.714,541.0,300.0,241.0,73.0,70.0,69.0,14.0,10.0,0.0,5.21,38.64
2023,Georgia,14,13,1,0.929,562.0,219.0,343.0,71.0,71.0,71.0,25.0,21.0,1.0,5.07,40.14
2023,LSU,13,10,3,0.769,592.0,364.0,228.0,79.0,78.0,78.0,15.0,12.0,1.0,6.08,45.54
2023,Liberty,14,13,1,0.929,536.0,340.0,196.0,73.0,73.0,71.0,15.0,9.0,0.0,5.21,38.29
2023,Memphis,13,10,3,0.769,512.0,374.0,138.0,67.0,63.0,61.0,18.0,13.0,0.0,5.15,39.38
2023,Michigan,15,15,0,1.0,538.0,156.0,382.0,69.0,68.0,66.0,21.0,18.0,2.0,4.6,35.87
2023,Oklahoma,13,10,3,0.769,542.0,305.0,237.0,71.0,69.0,69.0,21.0,15.0,1.0,5.46,41.69
2023,Oregon,14,12,2,0.857,619.0,231.0,388.0,83.0,75.0,75.0,18.0,12.0,0.0,5.93,44.21
2023,SMU,14,11,3,0.786,542.0,249.0,293.0,68.0,67.0,66.0,27.0,20.0,0.0,4.86,38.71
2023,USC,13,8,5,0.615,544.0,447.0,97.0,74.0,68.0,66.0,15.0,10.0,0.0,5.69,41.85
2023,Washington,15,14,1,0.933,540.0,372.0,168.0,69.0,64.0,64.0,22.0,18.0,2.0,4.6,36.0
2024,Boise State,14,12,2,0.857,522.0,316.0,206.0,69.0,65.0,65.0,18.0,13.0,0.0,4.93,37.29
2024,Indiana,13,11,2,0.846,537.0,203.0,334.0,72.0,69.0,69.0,11.0,10.0,1.0,5.54,41.31
2024,Miami (FL),13,10,3,0.769,571.0,329.0,242.0,73.0,66.0,66.0,20.0,19.0,0.0,5.62,43.92
2024,Notre Dame,16,14,2,0.875,578.0,248.0,330.0,76.0,74.0,73.0,27.0,15.0,0.0,4.75,36.12
2024,Ohio State,16,14,2,0.875,571.0,206.0,365.0,76.0,76.0,76.0,17.0,13.0,0.0,4.75,35.69
2024,Penn State,16,13,3,0.813,530.0,264.0,266.0,69.0,66.0,65.0,23.0,17.0,0.0,4.31,33.12
2024,Texas,16,13,3,0.813,528.0,245.0,283.0,68.0,66.0,66.0,25.0,16.0,1.0,4.25,33.0
2025,Indiana,16,16,0,1.0,666.0,187.0,479.0,87.0,87.0,87.0,21.0,19.0,0.0,5.44,41.62
2025,James Madison,14,12,2,0.857,519.0,257.0,262.0,68.0,65.0,65.0,19.0,14.0,0.0,4.86,37.07
2025,North Texas,14,12,2,0.857,631.0,371.0,260.0,85.0,77.0,77.0,14.0,12.0,0.0,6.07,45.07
2025,Notre Dame,12,10,2,0.833,504.0,211.0,293.0,70.0,67.0,63.0,9.0,5.0,1.0,5.83,42.0
2025,Oregon,15,13,2,0.867,554.0,268.0,286.0,71.0,67.0,67.0,25.0,19.0,1.0,4.73,36.93
2025,South Florida,13,9,4,0.692,526.0,304.0,222.0,67.0,63.0,62.0,24.0,18.0,2.0,5.15,40.46
2025,Tennessee,13,8,5,0.615,517.0,375.0,142.0,68.0,67.0,67.0,19.0,14.0,0.0,5.23,39.77
2025,Texas Tech,14,12,2,0.857,552.0,165.0,387.0,67.0,61.0,58.0,34.0,28.0,0.0,4.79,39.43
2025,Utah,13,11,2,0.846,537.0,246.0,291.0,72.0,71.0,68.0,15.0,11.0,1.0,5.54,41.31
