season,week,gameday,game_type,home_team,away_team,home_score,away_score,home_rank,away_rank,location,notes,game_id
2000,2,2000-09-02,REG,Clemson,Citadel,38.0,0.0,17.0,,Home,,2000_02_Citadel_Clemson
2000,2,2000-09-02,REG,Colorado State,Colorado,28.0,24.0,,23.0,Neutral,,2000_02_Colorado_ColoradoState
2000,2,2000-09-02,REG,Duke,East Carolina,0.0,38.0,,,Home,,2000_02_EastCarolina_Duke
2000,2,2000-09-02,REG,Eastern Michigan,Connecticut,32.0,25.0,,,Home,,2000_02_Connecticut_EasternMichigan
2000,2,2000-09-02,REG,Florida,Ball State,40.0,19.0,9.0,,Home,,2000_02_BallState_Florida
2000,2,2000-09-02,REG,Georgia,Georgia Southern,29.0,7.0,10.0,,Home,,2000_02_GeorgiaSouthern_Georgia
2000,2,2000-09-02,REG,Georgia Tech,Central Florida,21.0,17.0,,,Home,,2000_02_CentralFlorida_GeorgiaTech
2000,2,2000-09-02,REG,Illinois,Middle Tennessee State,35.0,6.0,21.0,,Home,,2000_02_MiddleTennesseeState_Illinois
2000,2,2000-09-02,REG,Iowa State,Ohio,25.0,15.0,,,Home,,2000_02_Ohio_IowaState
2000,2,2000-09-02,REG,Kansas State,Louisiana Tech,54.0,10.0,8.0,,Home,,2000_02_LouisianaTech_KansasState
2000,2,2000-09-02,REG,Louisiana,Sam Houston,14.0,21.0,,,Home,,2000_02_SamHouston_Louisiana
2000,2,2000-09-02,REG,Louisiana State,Western Carolina,58.0,0.0,,,Home,,2000_02_WesternCarolina_LouisianaState
2000,2,2000-09-02,REG,Louisville,Kentucky,40.0,34.0,,,Home,,2000_02_Kentucky_Louisville
2000,2,2000-09-02,REG,Memphis,Mississippi State,3.0,17.0,,,Home,,2000_02_MississippiState_Memphis
2000,2,2000-09-02,REG,Michigan,Bowling Green,42.0,7.0,6.0,,Home,,2000_02_BowlingGreen_Michigan
2000,2,2000-09-02,REG,Minnesota,Louisiana-Monroe,47.0,10.0,,,Home,,2000_02_LouisianaMonroe_Minnesota
2000,2,2000-09-02,REG,Mississippi,Tulane,49.0,20.0,18.0,,Home,,2000_02_Tulane_Mississippi
2000,2,2000-09-02,REG,Missouri,Western Illinois,50.0,20.0,,,Home,,2000_02_WesternIllinois_Missouri
2000,2,2000-09-02,REG,Navy,Temple,6.0,17.0,,,Home,,2000_02_Temple_Navy
2000,2,2000-09-02,REG,Nebraska,San Jose State,49.0,13.0,1.0,,Home,,2000_02_SanJoseState_Nebraska
2000,2,2000-09-02,REG,New Mexico,Boise State,14.0,31.0,,,Home,,2000_02_BoiseState_NewMexico
2000,2,2000-09-02,REG,North Carolina,Tulsa,30.0,9.0,,,Home,,2000_02_Tulsa_NorthCarolina
2000,2,2000-09-02,REG,North Carolina State,Arkansas State,38.0,31.0,,,Home,,2000_02_ArkansasState_NorthCarolinaState
2000,2,2000-09-02,REG,Notre Dame,Texas A&M,24.0,10.0,,25.0,Home,,2000_02_TexasAM_NotreDame
2000,2,2000-09-02,REG,Ohio State,Fresno State,43.0,10.0,16.0,,Home,,2000_02_FresnoState_OhioState
2000,2,2000-09-02,REG,Oklahoma,Texas-El Paso,55.0,14.0,19.0,,Home,,2000_02_TexasElPaso_Oklahoma
2000,2,2000-09-02,REG,Oregon,Nevada,36.0,7.0,,,Home,,2000_02_Nevada_Oregon
2000,2,2000-09-02,REG,Oregon State,Eastern Washington,21.0,19.0,,,Home,,2000_02_EasternWashington_OregonState
2000,2,2000-09-02,REG,Penn State,Toledo,6.0,24.0,,,Home,,2000_02_Toledo_PennState
2000,2,2000-09-02,REG,Pittsburgh,Kent State,30.0,7.0,,,Home,,2000_02_KentState_Pittsburgh
2000,2,2000-09-02,REG,Purdue,Central Michigan,48.0,0.0,15.0,,Home,,2000_02_CentralMichigan_Purdue
2000,2,2000-09-02,REG,Rice,Houston,30.0,27.0,,,Home,,2000_02_Houston_Rice
2000,2,2000-09-02,REG,Rutgers,Villanova,34.0,21.0,,,Home,,2000_02_Villanova_Rutgers
2000,2,2000-09-02,REG,South Carolina,New Mexico State,31.0,0.0,,,Home,,2000_02_NewMexicoState_SouthCarolina
2000,2,2000-09-02,REG,South Florida,Jacksonville State,40.0,0.0,,,Home,,2000_02_JacksonvilleState_SouthFlorida
2000,2,2000-09-02,REG,Southern Methodist,Kansas,31.0,17.0,,,Home,,2000_02_Kansas_SouthernMethodist
2000,2,2000-09-02,REG,Syracuse,Buffalo,63.0,7.0,,,Home,,2000_02_Buffalo_Syracuse
2000,2,2000-09-02,REG,Tennessee,Southern Mississippi,19.0,16.0,13.0,22.0,Home,,2000_02_SouthernMississippi_Tennessee
2000,2,2000-09-02,REG,Texas Tech,Utah State,38.0,16.0,,,Home,,2000_02_UtahState_TexasTech
2000,2,2000-09-02,REG,UCLA,Alabama,35.0,24.0,,3.0,Home,,2000_02_Alabama_UCLA
2000,2,2000-09-02,REG,Utah,Arizona,3.0,17.0,,,Home,,2000_02_Arizona_Utah
2000,2,2000-09-02,REG,Vanderbilt,Miami (OH),30.0,33.0,,,Home,,2000_02_MiamiOH_Vanderbilt
2000,2,2000-09-02,REG,Virginia,Brigham Young,35.0,38.0,,,Home,,2000_02_BrighamYoung_Virginia
2000,2,2000-09-02,REG,Virginia Tech,Akron,52.0,23.0,11.0,,Home,,2000_02_Akron_VirginiaTech
2000,2,2000-09-02,REG,Washington,Idaho,44.0,20.0,14.0,,Home,,2000_02_Idaho_Washington
2000,2,2000-09-02,REG,Washington State,Stanford,10.0,24.0,,,Home,,2000_02_Stanford_WashingtonState
2000,2,2000-09-02,REG,West Virginia,Boston College,34.0,14.0,,,Home,,2000_02_BostonCollege_WestVirginia
2000,2,2000-09-04,REG,Cincinnati,Army,23.0,17.0,,,Home,,2000_02_Army_Cincinnati
2000,3,2000-09-07,REG,Alabama-Birmingham,Chattanooga,20.0,15.0,,,Home,,2000_03_Chattanooga_AlabamaBirmingham
2000,3,2000-09-07,REG,East Carolina,Virginia Tech,28.0,45.0,,10.0,Home,,2000_03_VirginiaTech_EastCarolina
2000,3,2000-09-09,REG,Air Force,Brigham Young,31.0,23.0,,,Home,,2000_03_BrighamYoung_AirForce
2000,3,2000-09-09,REG,Alabama,Vanderbilt,28.0,10.0,13.0,,Home,,2000_03_Vanderbilt_Alabama
2000,3,2000-09-09,REG,Arizona,Ohio State,17.0,27.0,,18.0,Home,,2000_03_OhioState_Arizona
2000,3,2000-09-09,REG,Army,Boston College,17.0,55.0,,,Home,,2000_03_BostonCollege_Army
2000,3,2000-09-09,REG,Ball State,Western Illinois,14.0,24.0,,,Home,,2000_03_WesternIllinois_BallState
2000,3,2000-09-09,REG,Boise State,Northern Iowa,42.0,17.0,,,Home,,2000_03_NorthernIowa_BoiseState
2000,3,2000-09-09,REG,Bowling Green,Pittsburgh,16.0,34.0,,,Home,,2000_03_Pittsburgh_BowlingGreen
2000,3,2000-09-09,REG,California,Utah,24.0,21.0,,,Home,,2000_03_Utah_California
2000,3,2000-09-09,REG,Central Florida,Northwestern State,19.0,7.0,,,Home,,2000_03_NorthwesternState_CentralFlorida
2000,3,2000-09-09,REG,Central Michigan,Akron,17.0,7.0,,,Home,,2000_03_Akron_CentralMichigan
2000,3,2000-09-09,REG,Cincinnati,Syracuse,12.0,10.0,,,Home,,2000_03_Syracuse_Cincinnati
2000,3,2000-09-09,REG,Clemson,Missouri,62.0,9.0,17.0,,Home,,2000_03_Missouri_Clemson
2000,3,2000-09-09,REG,Colorado State,East Tennessee State,41.0,7.0,,,Home,,2000_03_EastTennesseeState_ColoradoState
2000,3,2000-09-09,REG,Connecticut,Colgate,37.0,7.0,,,Home,,2000_03_Colgate_Connecticut
2000,3,2000-09-09,REG,Eastern Michigan,Miami (OH),17.0,34.0,,,Home,,2000_03_MiamiOH_EasternMichigan
2000,3,2000-09-09,REG,Florida,Middle Tennessee State,55.0,0.0,8.0,,Home,,2000_03_MiddleTennesseeState_Florida
2000,3,2000-09-09,REG,Georgia Tech,Florida State,21.0,26.0,,2.0,Home,,2000_03_FloridaState_GeorgiaTech
2000,3,2000-09-09,REG,Hawaii,Portland State,20.0,45.0,,,Home,,2000_03_PortlandState_Hawaii
2000,3,2000-09-09,REG,Idaho,Montana,38.0,45.0,,,Home,,2000_03_Montana_Idaho
2000,3,2000-09-09,REG,Indiana,North Carolina State,38.0,41.0,,,Home,,2000_03_NorthCarolinaState_Indiana
2000,3,2000-09-09,REG,Iowa,Western Michigan,21.0,27.0,,,Home,,2000_03_WesternMichigan_Iowa
2000,3,2000-09-09,REG,Iowa State,Nevada-Las Vegas,37.0,22.0,,,Home,,2000_03_NevadaLasVegas_IowaState
2000,3,2000-09-09,REG,Kentucky,South Florida,27.0,9.0,,,Home,,2000_03_SouthFlorida_Kentucky
2000,3,2000-09-09,REG,Louisiana State,Houston,28.0,13.0,,,Home,,2000_03_Houston_LouisianaState
2000,3,2000-09-09,REG,Louisville,Grambling State,52.0,0.0,,,Home,,2000_03_GramblingState_Louisville
2000,3,2000-09-09,REG,Maryland,Temple,17.0,10.0,,,Home,,2000_03_Temple_Maryland
2000,3,2000-09-09,REG,Memphis,Louisiana-Monroe,28.0,0.0,,,Home,,2000_03_LouisianaMonroe_Memphis
2000,3,2000-09-09,REG,Michigan,Rice,38.0,7.0,3.0,,Home,,2000_03_Rice_Michigan
2000,3,2000-09-09,REG,Michigan State,Marshall,34.0,24.0,24.0,,Home,,2000_03_Marshall_MichiganState
2000,3,2000-09-09,REG,Minnesota,Ohio,17.0,23.0,,,Home,,2000_03_Ohio_Minnesota
2000,3,2000-09-09,REG,Mississippi,Auburn,27.0,35.0,19.0,,Home,,2000_03_Auburn_Mississippi
2000,3,2000-09-09,REG,Nevada,Texas Christian,10.0,41.0,,22.0,Home,,2000_03_TexasChristian_Nevada
2000,3,2000-09-09,REG,New Mexico,Oregon State,20.0,28.0,,,Home,,2000_03_OregonState_NewMexico
2000,3,2000-09-09,REG,Northern Illinois,Illinois State,52.0,0.0,,,Home,,2000_03_IllinoisState_NorthernIllinois
2000,3,2000-09-09,REG,Northwestern,Duke,38.0,5.0,,,Home,,2000_03_Duke_Northwestern
2000,3,2000-09-09,REG,Notre Dame,Nebraska,24.0,27.0,23.0,1.0,Home,,2000_03_Nebraska_NotreDame
2000,3,2000-09-09,REG,Oklahoma,Arkansas State,45.0,7.0,20.0,,Home,,2000_03_ArkansasState_Oklahoma
2000,3,2000-09-09,REG,Penn State,Louisiana Tech,67.0,7.0,,,Home,,2000_03_LouisianaTech_PennState
2000,3,2000-09-09,REG,Purdue,Kent State,45.0,10.0,14.0,,Home,,2000_03_KentState_Purdue
2000,3,2000-09-09,REG,Rutgers,Buffalo,59.0,0.0,,,Home,,2000_03_Buffalo_Rutgers
2000,3,2000-09-09,REG,San Diego State,Illinois,13.0,49.0,,21.0,Home,,2000_03_Illinois_SanDiegoState
2000,3,2000-09-09,REG,South Carolina,Georgia,21.0,10.0,,9.0,Home,,2000_03_Georgia_SouthCarolina
2000,3,2000-09-09,REG,Southern California,Colorado,17.0,14.0,11.0,,Home,,2000_03_Colorado_SouthernCalifornia
2000,3,2000-09-09,REG,Stanford,San Jose State,27.0,40.0,,,Home,,2000_03_SanJoseState_Stanford
2000,3,2000-09-09,REG,Texas,Louisiana,52.0,10.0,6.0,,Home,,2000_03_Louisiana_Texas
2000,3,2000-09-09,REG,Texas A&M,Wyoming,51.0,3.0,,,Home,,2000_03_Wyoming_TexasAM
2000,3,2000-09-09,REG,Texas Tech,North Texas,13.0,7.0,,,Home,,2000_03_NorthTexas_TexasTech
2000,3,2000-09-09,REG,Texas-El Paso,Southern Methodist,37.0,20.0,,,Home,,2000_03_SouthernMethodist_TexasElPaso
2000,3,2000-09-09,REG,Toledo,Weber State,51.0,0.0,,,Home,,2000_03_WeberState_Toledo
2000,3,2000-09-09,REG,Tulsa,Oklahoma State,26.0,36.0,,,Home,,2000_03_OklahomaState_Tulsa
2000,3,2000-09-09,REG,UCLA,Fresno State,24.0,21.0,16.0,,Home,,2000_03_FresnoState_UCLA
2000,3,2000-09-09,REG,Utah State,Southern Utah,30.0,14.0,,,Home,,2000_03_SouthernUtah_UtahState
2000,3,2000-09-09,REG,Virginia,Richmond,34.0,6.0,,,Home,,2000_03_Richmond_Virginia
2000,3,2000-09-09,REG,Wake Forest,North Carolina,14.0,35.0,,,Home,,2000_03_NorthCarolina_WakeForest
2000,3,2000-09-09,REG,Washington,Miami (FL),34.0,29.0,15.0,4.0,Home,,2000_03_MiamiFL_Washington
2000,3,2000-09-09,REG,Wisconsin,Oregon,27.0,23.0,5.0,,Home,,2000_03_Oregon_Wisconsin
2000,4,2000-09-14,REG,Brigham Young,Mississippi State,28.0,44.0,,,Home,,2000_04_MississippiState_BrighamYoung
2000,4,2000-09-16,REG,Akron,Central Florida,35.0,24.0,,,Home,,2000_04_CentralFlorida_Akron
2000,4,2000-09-16,REG,Alabama,Southern Mississippi,0.0,21.0,15.0,25.0,Home,,2000_04_SouthernMississippi_Alabama
2000,4,2000-09-16,REG,Arizona,San Diego State,17.0,3.0,,,Home,,2000_04_SanDiegoState_Arizona
2000,4,2000-09-16,REG,Arizona State,Colorado State,13.0,10.0,,,Home,,2000_04_ColoradoState_ArizonaState
2000,4,2000-09-16,REG,Arkansas,Boise State,38.0,31.0,,,Home,,2000_04_BoiseState_Arkansas
2000,4,2000-09-16,REG,Arkansas State,Memphis,17.0,19.0,,,Home,,2000_04_Memphis_ArkansasState
2000,4,2000-09-16,REG,Auburn,Louisiana State,34.0,17.0,24.0,,Home,,2000_04_LouisianaState_Auburn
2000,4,2000-09-16,REG,Baylor,Minnesota,9.0,34.0,,,Home,,2000_04_Minnesota_Baylor
2000,4,2000-09-16,REG,Buffalo,Connecticut,21.0,24.0,,,Home,,2000_04_Connecticut_Buffalo
2000,4,2000-09-16,REG,Clemson,Wake Forest,55.0,7.0,16.0,,Home,,2000_04_WakeForest_Clemson
2000,4,2000-09-16,REG,Colorado,Washington,14.0,17.0,,9.0,Home,,2000_04_Washington_Colorado
2000,4,2000-09-16,REG,Duke,Virginia,10.0,26.0,,,Home,,2000_04_Virginia_Duke
2000,4,2000-09-16,REG,East Carolina,Tulane,37.0,17.0,,,Home,,2000_04_Tulane_EastCarolina
2000,4,2000-09-16,REG,Florida State,North Carolina,63.0,14.0,2.0,,Home,,2000_04_NorthCarolina_FloridaState
2000,4,2000-09-16,REG,Georgia Tech,Navy,40.0,13.0,,,Home,,2000_04_Navy_GeorgiaTech
2000,4,2000-09-16,REG,Houston,Army,31.0,30.0,,,Home,,2000_04_Army_Houston
2000,4,2000-09-16,REG,Illinois,California,17.0,15.0,19.0,,Home,,2000_04_California_Illinois
2000,4,2000-09-16,REG,Iowa,Iowa State,14.0,24.0,,,Home,,2000_04_IowaState_Iowa
2000,4,2000-09-16,REG,Kansas,Alabama-Birmingham,23.0,20.0,,,Home,,2000_04_AlabamaBirmingham_Kansas
2000,4,2000-09-16,REG,Kansas State,Ball State,76.0,0.0,7.0,,Home,,2000_04_BallState_KansasState
2000,4,2000-09-16,REG,Kent State,Youngstown State,20.0,26.0,,,Home,,2000_04_YoungstownState_KentState
2000,4,2000-09-16,REG,Kentucky,Indiana,41.0,34.0,,,Home,,2000_04_Indiana_Kentucky
2000,4,2000-09-16,REG,Louisiana Tech,Stephen F. Austin,31.0,34.0,,,Home,,2000_04_StephenFAustin_LouisianaTech
2000,4,2000-09-16,REG,Louisiana-Monroe,Nicholls State,27.0,21.0,,,Home,,2000_04_NichollsState_LouisianaMonroe
2000,4,2000-09-16,REG,Middle Tennessee State,Murray State,44.0,28.0,,,Home,,2000_04_MurrayState_MiddleTennesseeState
2000,4,2000-09-16,REG,Missouri,Michigan State,10.0,13.0,,22.0,Home,,2000_04_MichiganState_Missouri
2000,4,2000-09-16,REG,Nevada-Las Vegas,North Texas,38.0,0.0,,,Home,,2000_04_NorthTexas_NevadaLasVegas
2000,4,2000-09-16,REG,New Mexico State,New Mexico,13.0,16.0,,,Home,,2000_04_NewMexico_NewMexicoState
2000,4,2000-09-16,REG,North Carolina State,Southern Methodist,41.0,0.0,,,Home,,2000_04_SouthernMethodist_NorthCarolinaState
2000,4,2000-09-16,REG,Notre Dame,Purdue,23.0,21.0,21.0,13.0,Home,,2000_04_Purdue_NotreDame
2000,4,2000-09-16,REG,Ohio,Tennessee Tech,52.0,14.0,,,Home,,2000_04_TennesseeTech_Ohio
2000,4,2000-09-16,REG,Ohio State,Miami (OH),27.0,16.0,17.0,,Home,,2000_04_MiamiOH_OhioState
2000,4,2000-09-16,REG,Oklahoma State,Texas State,23.0,0.0,,,Home,,2000_04_TexasState_OklahomaState
2000,4,2000-09-16,REG,Oregon,Idaho,42.0,13.0,,,Home,,2000_04_Idaho_Oregon
2000,4,2000-09-16,REG,Pittsburgh,Penn State,12.0,0.0,,,Home,,2000_04_PennState_Pittsburgh
2000,4,2000-09-16,REG,Rice,Tulsa,16.0,23.0,,,Home,,2000_04_Tulsa_Rice
2000,4,2000-09-16,REG,San Jose State,Southern Utah,47.0,7.0,,,Home,,2000_04_SouthernUtah_SanJoseState
2000,4,2000-09-16,REG,South Carolina,Eastern Michigan,41.0,6.0,,,Home,,2000_04_EasternMichigan_SouthCarolina
2000,4,2000-09-16,REG,South Florida,James Madison,26.0,7.0,,,Home,,2000_04_JamesMadison_SouthFlorida
2000,4,2000-09-16,REG,Stanford,Texas,27.0,24.0,,5.0,Home,,2000_04_Texas_Stanford
2000,4,2000-09-16,REG,Temple,Bowling Green,31.0,14.0,,,Home,,2000_04_BowlingGreen_Temple
2000,4,2000-09-16,REG,Tennessee,Florida,23.0,27.0,11.0,6.0,Home,,2000_04_Florida_Tennessee
2000,4,2000-09-16,REG,Texas A&M,Texas-El Paso,45.0,17.0,,,Home,,2000_04_TexasElPaso_TexasAM
2000,4,2000-09-16,REG,Texas Christian,Northwestern,41.0,14.0,20.0,,Home,,2000_04_Northwestern_TexasChristian
2000,4,2000-09-16,REG,Texas Tech,Louisiana,26.0,0.0,,,Home,,2000_04_Louisiana_TexasTech
2000,4,2000-09-16,REG,Toledo,Eastern Illinois,31.0,26.0,,,Home,,2000_04_EasternIllinois_Toledo
2000,4,2000-09-16,REG,UCLA,Michigan,23.0,20.0,14.0,3.0,Home,,2000_04_Michigan_UCLA
2000,4,2000-09-16,REG,Utah,Washington State,21.0,38.0,,,Home,,2000_04_WashingtonState_Utah
2000,4,2000-09-16,REG,Vanderbilt,Mississippi,7.0,12.0,,,Home,,2000_04_Mississippi_Vanderbilt
2000,4,2000-09-16,REG,Virginia Tech,Rutgers,49.0,0.0,8.0,,Home,,2000_04_Rutgers_VirginiaTech
2000,4,2000-09-16,REG,West Virginia,Maryland,30.0,17.0,,,Home,,2000_04_Maryland_WestVirginia
2000,4,2000-09-16,REG,Western Michigan,Indiana State,56.0,0.0,,,Home,,2000_04_IndianaState_WesternMichigan
2000,4,2000-09-16,REG,Wisconsin,Cincinnati,28.0,25.0,4.0,,Home,,2000_04_Cincinnati_Wisconsin
2000,4,2000-09-16,REG,Wyoming,Central Michigan,31.0,10.0,,,Home,,2000_04_CentralMichigan_Wyoming
2000,5,2000-09-21,REG,North Carolina State,Georgia Tech,30.0,23.0,,,Home,,2000_05_GeorgiaTech_NorthCarolinaState
2000,5,2000-09-23,REG,Arizona State,Utah State,44.0,20.0,,,Home,,2000_05_UtahState_ArizonaState
2000,5,2000-09-23,REG,Arkansas,Alabama,28.0,21.0,,,Home,,2000_05_Alabama_Arkansas
2000,5,2000-09-23,REG,Army,Memphis,16.0,26.0,,,Home,,2000_05_Memphis_Army
2000,5,2000-09-23,REG,Auburn,Northern Illinois,31.0,14.0,20.0,,Home,,2000_05_NorthernIllinois_Auburn
2000,5,2000-09-23,REG,Baylor,South Florida,28.0,13.0,,,Home,,2000_05_SouthFlorida_Baylor
2000,5,2000-09-23,REG,Boston College,Navy,48.0,7.0,,,Home,,2000_05_Navy_BostonCollege
2000,5,2000-09-23,REG,Brigham Young,Nevada-Las Vegas,10.0,7.0,,,Home,,2000_05_NevadaLasVegas_BrighamYoung
2000,5,2000-09-23,REG,Buffalo,Bowling Green,20.0,17.0,,,Home,,2000_05_BowlingGreen_Buffalo
2000,5,2000-09-23,REG,Central Florida,William & Mary,52.0,7.0,,,Home,,2000_05_WilliamMary_CentralFlorida
2000,5,2000-09-23,REG,Central Michigan,Boise State,10.0,47.0,,,Home,,2000_05_BoiseState_CentralMichigan
2000,5,2000-09-23,REG,Connecticut,Northeastern,27.0,35.0,,,Home,,2000_05_Northeastern_Connecticut
2000,5,2000-09-23,REG,East Carolina,Syracuse,34.0,17.0,,,Home,,2000_05_Syracuse_EastCarolina
2000,5,2000-09-23,REG,Florida,Kentucky,59.0,31.0,3.0,,Home,,2000_05_Kentucky_Florida
2000,5,2000-09-23,REG,Florida State,Louisville,31.0,0.0,2.0,,Home,,2000_05_Louisville_FloridaState
2000,5,2000-09-23,REG,Fresno State,California,17.0,3.0,,,Home,,2000_05_California_FresnoState
2000,5,2000-09-23,REG,Georgia,New Mexico State,37.0,0.0,24.0,,Home,,2000_05_NewMexicoState_Georgia
2000,5,2000-09-23,REG,Illinois,Michigan,31.0,35.0,19.0,10.0,Home,,2000_05_Michigan_Illinois
2000,5,2000-09-23,REG,Indiana,Cincinnati,42.0,6.0,,,Home,,2000_05_Cincinnati_Indiana
2000,5,2000-09-23,REG,Kansas,Southern Illinois,42.0,0.0,,,Home,,2000_05_SouthernIllinois_Kansas
2000,5,2000-09-23,REG,Kansas State,North Texas,55.0,10.0,4.0,,Home,,2000_05_NorthTexas_KansasState
2000,5,2000-09-23,REG,Louisiana,Northwestern State,21.0,23.0,,,Home,,2000_05_NorthwesternState_Louisiana
2000,5,2000-09-23,REG,Louisiana State,Alabama-Birmingham,10.0,13.0,,,Home,,2000_05_AlabamaBirmingham_LouisianaState
2000,5,2000-09-23,REG,Maryland,Middle Tennessee State,45.0,27.0,,,Home,,2000_05_MiddleTennesseeState_Maryland
2000,5,2000-09-23,REG,Miami (OH),Kent State,45.0,14.0,,,Home,,2000_05_KentState_MiamiOH
2000,5,2000-09-23,REG,Michigan State,Notre Dame,27.0,21.0,23.0,16.0,Home,,2000_05_NotreDame_MichiganState
2000,5,2000-09-23,REG,Nebraska,Iowa,42.0,13.0,1.0,,Home,,2000_05_Iowa_Nebraska
2000,5,2000-09-23,REG,New Mexico,Northern Arizona,35.0,28.0,,,Home,,2000_05_NorthernArizona_NewMexico
2000,5,2000-09-23,REG,North Carolina,Marshall,20.0,15.0,,,Home,,2000_05_Marshall_NorthCarolina
2000,5,2000-09-23,REG,Ohio,Akron,20.0,23.0,,,Home,,2000_05_Akron_Ohio
2000,5,2000-09-23,REG,Ohio State,Penn State,45.0,6.0,14.0,,Home,,2000_05_PennState_OhioState
2000,5,2000-09-23,REG,Oklahoma,Rice,42.0,14.0,17.0,,Home,,2000_05_Rice_Oklahoma
2000,5,2000-09-23,REG,Oklahoma State,Southern Mississippi,6.0,28.0,,22.0,Home,,2000_05_SouthernMississippi_OklahomaState
2000,5,2000-09-23,REG,Oregon,UCLA,29.0,10.0,,6.0,Home,,2000_05_UCLA_Oregon
2000,5,2000-09-23,REG,Oregon State,San Diego State,35.0,3.0,,,Home,,2000_05_SanDiegoState_OregonState
2000,5,2000-09-23,REG,Pittsburgh,Rutgers,29.0,17.0,,,Home,,2000_05_Rutgers_Pittsburgh
2000,5,2000-09-23,REG,Purdue,Minnesota,38.0,24.0,21.0,,Home,,2000_05_Minnesota_Purdue
2000,5,2000-09-23,REG,South Carolina,Mississippi State,23.0,19.0,,25.0,Home,,2000_05_MississippiState_SouthCarolina
2000,5,2000-09-23,REG,Southern California,San Jose State,34.0,24.0,9.0,,Home,,2000_05_SanJoseState_SouthernCalifornia
2000,5,2000-09-23,REG,Southern Methodist,Tulane,17.0,29.0,,,Home,,2000_05_Tulane_SouthernMethodist
2000,5,2000-09-23,REG,Temple,Eastern Michigan,49.0,40.0,,,Home,,2000_05_EasternMichigan_Temple
2000,5,2000-09-23,REG,Tennessee,Louisiana-Monroe,70.0,3.0,13.0,,Home,,2000_05_LouisianaMonroe_Tennessee
2000,5,2000-09-23,REG,Texas,Houston,48.0,0.0,15.0,,Home,,2000_05_Houston_Texas
2000,5,2000-09-23,REG,Texas Christian,Arkansas State,52.0,3.0,18.0,,Home,,2000_05_ArkansasState_TexasChristian
2000,5,2000-09-23,REG,Texas-El Paso,Hawaii,39.0,7.0,,,Home,,2000_05_Hawaii_TexasElPaso
2000,5,2000-09-23,REG,Tulsa,Louisiana Tech,22.0,10.0,,,Home,,2000_05_LouisianaTech_Tulsa
2000,5,2000-09-23,REG,Utah,Air Force,14.0,23.0,,,Home,,2000_05_AirForce_Utah
2000,5,2000-09-23,REG,Vanderbilt,Duke,26.0,7.0,,,Home,,2000_05_Duke_Vanderbilt
2000,5,2000-09-23,REG,Virginia,Clemson,10.0,31.0,,11.0,Home,,2000_05_Clemson_Virginia
2000,5,2000-09-23,REG,Washington State,Idaho,34.0,38.0,,,Home,,2000_05_Idaho_WashingtonState
2000,5,2000-09-23,REG,West Virginia,Miami (FL),10.0,47.0,,12.0,Home,,2000_05_MiamiFL_WestVirginia
2000,5,2000-09-23,REG,Western Michigan,Toledo,21.0,14.0,,,Home,,2000_05_Toledo_WesternMichigan
2000,5,2000-09-23,REG,Wisconsin,Northwestern,44.0,47.0,7.0,,Home,,2000_05_Northwestern_Wisconsin
2000,5,2000-09-23,REG,Wyoming,Nevada,28.0,35.0,,,Home,,2000_05_Nevada_Wyoming
2000,6,2000-09-28,REG,Maryland,Florida State,7.0,59.0,,2.0,Home,,2000_06_FloridaState_Maryland
2000,6,2000-09-28,REG,Temple,West Virginia,24.0,29.0,,,Home,,2000_06_WestVirginia_Temple
