k,hfa,regression,margin_cap,games,log_loss,accuracy
20.0,75.0,0.25,35.0,17622,0.5183,0.739
38.0,55.0,0.55,35.0,17622,0.5184,0.7409
32.0,65.0,0.45,21.0,17622,0.5185,0.74
38.0,65.0,0.55,35.0,17622,0.5187,0.7411
32.0,85.0,0.45,35.0,17622,0.5187,0.7377
38.0,85.0,0.45,21.0,17622,0.5187,0.7366
38.0,75.0,0.55,999.0,17622,0.5188,0.7391
26.0,75.0,0.35,21.0,17622,0.5189,0.7387
26.0,85.0,0.35,28.0,17622,0.5189,0.7373
20.0,75.0,0.25,28.0,17622,0.519,0.7383
20.0,55.0,0.25,21.0,17622,0.5191,0.7416
20.0,85.0,0.25,999.0,17622,0.5192,0.7366
38.0,55.0,0.55,28.0,17622,0.5192,0.7408
26.0,55.0,0.45,999.0,17622,0.5194,0.7419
32.0,75.0,0.45,21.0,17622,0.5195,0.7388
20.0,65.0,0.25,21.0,17622,0.5195,0.7403
32.0,85.0,0.45,28.0,17622,0.5195,0.7366
38.0,65.0,0.55,28.0,17622,0.5195,0.74
38.0,75.0,0.55,35.0,17622,0.5196,0.7387
26.0,65.0,0.45,999.0,17622,0.5197,0.7407
20.0,85.0,0.25,35.0,17622,0.5199,0.7364
32.0,55.0,0.55,999.0,17622,0.5201,0.7424
26.0,55.0,0.45,35.0,17622,0.5201,0.7417
38.0,85.0,0.55,999.0,17622,0.5204,0.7366
38.0,75.0,0.55,28.0,17622,0.5204,0.7377
32.0,65.0,0.55,999.0,17622,0.5204,0.7407
26.0,65.0,0.45,35.0,17622,0.5205,0.7402
26.0,85.0,0.35,21.0,17622,0.5205,0.7363
38.0,55.0,0.55,21.0,17622,0.5206,0.7398
20.0,75.0,0.25,21.0,17622,0.5206,0.7361
26.0,75.0,0.45,999.0,17622,0.5206,0.7397
20.0,85.0,0.25,28.0,17622,0.5206,0.7355
32.0,55.0,0.55,35.0,17622,0.5209,0.7416
38.0,65.0,0.55,21.0,17622,0.5209,0.7395
32.0,85.0,0.45,21.0,17622,0.521,0.7354
26.0,55.0,0.45,28.0,17622,0.521,0.7404
20.0,55.0,0.35,999.0,17622,0.5211,0.7432
38.0,85.0,0.55,35.0,17622,0.5211,0.736
32.0,65.0,0.55,35.0,17622,0.5212,0.7402
32.0,75.0,0.55,999.0,17622,0.5213,0.7381
26.0,65.0,0.45,28.0,17622,0.5214,0.7393
26.0,75.0,0.45,35.0,17622,0.5214,0.7395
20.0,65.0,0.35,999.0,17622,0.5215,0.7419
38.0,75.0,0.55,21.0,17622,0.5218,0.7357
32.0,55.0,0.55,28.0,17622,0.5218,0.7413
20.0,55.0,0.35,35.0,17622,0.5218,0.7429
38.0,85.0,0.55,28.0,17622,0.5219,0.7343
32.0,65.0,0.55,28.0,17622,0.5221,0.7402
20.0,85.0,0.25,21.0,17622,0.5221,0.7336
32.0,75.0,0.55,35.0,17622,0.5221,0.7371
20.0,65.0,0.35,35.0,17622,0.5222,0.7413
26.0,85.0,0.45,999.0,17622,0.5222,0.737
26.0,75.0,0.45,28.0,17622,0.5223,0.7387
20.0,75.0,0.35,999.0,17622,0.5225,0.7386
20.0,55.0,0.35,28.0,17622,0.5227,0.7421
26.0,55.0,0.45,21.0,17622,0.5228,0.7399
26.0,85.0,0.45,35.0,17622,0.5229,0.7366
32.0,85.0,0.55,999.0,17622,0.5229,0.7348
32.0,75.0,0.55,28.0,17622,0.523,0.7367
20.0,65.0,0.35,28.0,17622,0.5231,0.7405
26.0,65.0,0.45,21.0,17622,0.5231,0.7391
20.0,75.0,0.35,35.0,17622,0.5232,0.7381
38.0,85.0,0.55,21.0,17622,0.5233,0.7338
32.0,55.0,0.55,21.0,17622,0.5235,0.7416
32.0,85.0,0.55,35.0,17622,0.5236,0.7345
32.0,65.0,0.55,21.0,17622,0.5238,0.7399
26.0,85.0,0.45,28.0,17622,0.5238,0.7354
20.0,85.0,0.35,999.0,17622,0.524,0.7352
26.0,75.0,0.45,21.0,17622,0.524,0.7379
20.0,75.0,0.35,28.0,17622,0.5241,0.7373
20.0,55.0,0.35,21.0,17622,0.5245,0.741
32.0,85.0,0.55,28.0,17622,0.5245,0.7339
32.0,75.0,0.55,21.0,17622,0.5247,0.7355
20.0,85.0,0.35,35.0,17622,0.5247,0.7349
20.0,65.0,0.35,21.0,17622,0.5249,0.7382
26.0,55.0,0.55,999.0,17622,0.5249,0.7412
26.0,65.0,0.55,999.0,17622,0.5252,0.7399
26.0,85.0,0.45,21.0,17622,0.5255,0.7341
20.0,85.0,0.35,28.0,17622,0.5256,0.7344
26.0,55.0,0.55,35.0,17622,0.5258,0.7408
20.0,75.0,0.35,21.0,17622,0.5258,0.7357
26.0,75.0,0.55,999.0,17622,0.5261,0.7375
26.0,65.0,0.55,35.0,17622,0.5261,0.7397
32.0,85.0,0.55,21.0,17622,0.5262,0.7333
26.0,55.0,0.55,28.0,17622,0.5268,0.7405
20.0,55.0,0.45,999.0,17622,0.5268,0.7416
26.0,75.0,0.55,35.0,17622,0.527,0.7363
26.0,65.0,0.55,28.0,17622,0.527,0.7389
20.0,65.0,0.45,999.0,17622,0.5272,0.7392
20.0,85.0,0.35,21.0,17622,0.5274,0.733
20.0,55.0,0.45,35.0,17622,0.5277,0.7411
26.0,85.0,0.55,999.0,17622,0.5277,0.7318
26.0,75.0,0.55,28.0,17622,0.5279,0.7355
20.0,65.0,0.45,35.0,17622,0.528,0.7384
20.0,75.0,0.45,999.0,17622,0.5281,0.7372
26.0,85.0,0.55,35.0,17622,0.5285,0.7314
26.0,55.0,0.55,21.0,17622,0.5286,0.7389
20.0,55.0,0.45,28.0,17622,0.5287,0.7407
20.0,75.0,0.45,35.0,17622,0.5289,0.7358
26.0,65.0,0.55,21.0,17622,0.5289,0.738
20.0,65.0,0.45,28.0,17622,0.529,0.7374
26.0,85.0,0.55,28.0,17622,0.5294,0.7315
20.0,85.0,0.45,999.0,17622,0.5296,0.7318
26.0,75.0,0.55,21.0,17622,0.5298,0.7343
20.0,75.0,0.45,28.0,17622,0.5299,0.7354
20.0,85.0,0.45,35.0,17622,0.5304,0.731
20.0,55.0,0.45,21.0,17622,0.5306,0.7398
20.0,65.0,0.45,21.0,17622,0.5309,0.736
26.0,85.0,0.55,21.0,17622,0.5313,0.7303
20.0,85.0,0.45,28.0,17622,0.5314,0.7307
20.0,75.0,0.45,21.0,17622,0.5318,0.7342
20.0,55.0,0.55,999.0,17622,0.5331,0.7403
20.0,85.0,0.45,21.0,17622,0.5333,0.7295
20.0,65.0,0.55,999.0,17622,0.5334,0.7364
20.0,55.0,0.55,35.0,17622,0.534,0.7395
20.0,75.0,0.55,999.0,17622,0.5343,0.7325
20.0,65.0,0.55,35.0,17622,0.5343,0.736
20.0,75.0,0.55,35.0,17622,0.5351,0.7317
