season,team,games,wins,losses,win_pct,pts_for,pts_against,pt_diff,td_allowed,xpa_allowed,xpm_allowed,fga_allowed,fgm_allowed,safeties_allowed,td_allowed_pg,pts_allowed_pg
2007,SMU,12,1,11,0.083,340.0,477.0,-137.0,65.0,62.0,61.0,11.0,8.0,0.0,5.42,39.75
2007,Toledo,12,5,7,0.417,395.0,470.0,-75.0,64.0,61.0,58.0,11.0,6.0,2.0,5.33,39.17
2007,Tulsa,14,10,4,0.714,576.0,467.0,109.0,60.0,56.0,53.0,22.0,16.0,0.0,4.29,33.36
2007,UTEP,12,4,8,0.333,403.0,445.0,-42.0,57.0,53.0,49.0,23.0,16.0,0.0,4.75,37.08
2008,Eastern Michigan,12,3,9,0.25,309.0,427.0,-118.0,56.0,55.0,54.0,19.0,11.0,1.0,4.67,35.58
2008,Idaho,12,2,10,0.167,235.0,513.0,-278.0,69.0,68.0,67.0,16.0,10.0,1.0,5.75,42.75
2008,Iowa State,12,2,10,0.167,304.0,430.0,-126.0,59.0,55.0,54.0,10.0,6.0,0.0,4.92,35.83
2008,Kansas State,12,5,7,0.417,419.0,430.0,-11.0,58.0,56.0,50.0,15.0,10.0,0.0,4.83,35.83
2008,Nevada,13,7,6,0.538,489.0,420.0,69.0,55.0,54.0,52.0,18.0,12.0,0.0,4.23,32.31
2008,North Texas,12,1,11,0.083,240.0,571.0,-331.0,78.0,78.0,71.0,13.0,10.0,0.0,6.5,47.58
2008,Rice,13,10,3,0.769,537.0,433.0,104.0,59.0,58.0,55.0,15.0,8.0,0.0,4.54,33.31
2008,SMU,12,1,11,0.083,256.0,458.0,-202.0,59.0,54.0,49.0,20.0,17.0,0.0,4.92,38.17
2008,San Diego State,12,2,10,0.167,231.0,446.0,-215.0,60.0,60.0,60.0,14.0,8.0,1.0,5.0,37.17
2008,Texas A&M,12,4,8,0.333,300.0,449.0,-149.0,58.0,54.0,51.0,23.0,16.0,0.0,4.83,37.42
2008,Tulane,12,2,10,0.167,200.0,414.0,-214.0,56.0,56.0,54.0,13.0,8.0,0.0,4.67,34.5
2008,UTEP,12,5,7,0.417,395.0,444.0,-49.0,60.0,57.0,54.0,17.0,10.0,0.0,5.0,37.0
2008,Washington,12,0,12,0.0,159.0,463.0,-304.0,59.0,59.0,56.0,19.0,17.0,1.0,4.92,38.58
2008,Washington State,13,2,11,0.154,165.0,570.0,-405.0,76.0,76.0,73.0,22.0,13.0,1.0,5.85,43.85
2009,Eastern Michigan,12,0,12,0.0,197.0,459.0,-262.0,62.0,61.0,56.0,13.0,9.0,1.0,5.17,38.25
2009,Florida International,12,3,9,0.25,275.0,424.0,-149.0,55.0,53.0,52.0,21.0,14.0,0.0,4.58,35.33
2009,Houston,14,10,4,0.714,591.0,421.0,170.0,56.0,55.0,49.0,19.0,12.0,0.0,4.0,30.07
2009,Idaho,13,8,5,0.615,425.0,468.0,-43.0,63.0,57.0,54.0,17.0,10.0,0.0,4.85,36.0
2009,Miami (OH),12,1,11,0.083,187.0,410.0,-223.0,55.0,54.0,50.0,15.0,10.0,0.0,4.58,34.17
2009,New Mexico,12,1,11,0.083,196.0,431.0,-235.0,56.0,54.0,51.0,19.0,12.0,3.0,4.67,35.92
2009,Rice,12,2,10,0.167,219.0,517.0,-298.0,70.0,66.0,64.0,15.0,11.0,0.0,5.83,43.08
2009,Texas A&M,13,6,7,0.462,427.0,436.0,-9.0,56.0,50.0,47.0,18.0,15.0,0.0,4.31,33.54
2009,Toledo,12,5,7,0.417,356.0,452.0,-96.0,60.0,58.0,54.0,17.0,12.0,0.0,5.0,37.67
