League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NFL,2026-09-17 19:55:28,2026-09-27 13:00,07f552badfa8a565d1be22123713e4da,Detroit Lions,New York Jets,No,476.5,No,NFC,North,AFC,East,-22.8,-116.0,-7.2,7.2,-373.33,295.0,-108.4,-110.4,47.9,-110,-110,-345,275,-110,-110,-102,-120,-375,300,-105,-115,100,-120,,,-110,-110,,,,,,,105,-116,,,-107,-107,,,,,,,-107,-114,-400,310,-110,-110,,,,,,
NFL,2026-09-17 19:55:28,2026-09-27 13:00,17a730b7d399feeab6a78c30767c29d2,Indianapolis Colts,Houston Texans,Yes,870.3,No,AFC,South,AFC,South,-72.17,-113.0,2.5,-2.5,118.0,-140.67,-109.83,-109.33,44.67,-110,-110,114,-135,-110,-110,-105,-115,122,-144,-110,-110,-105,-115,,,-110,-110,,,,,,,100,-110,,,-107,-107,,,,,,,-108,-113,118,-143,-112,-109,-105.0,-115.0,,,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-27 13:00,1f3cfd315a24d1a7dd5859a8e6b88e18,Jacksonville Jaguars,New England Patriots,No,995.4,No,AFC,South,AFC,East,-74.83,-110.33,-2.33,2.33,-133.0,112.0,-109.0,-110.17,45.75,-110,-110,-135,114,-110,-110,-115,-105,-132,112,-105,-115,-105,-115,,,-110,-110,,,,,,,100,-110,,,-107,-107,,,,,,,-109,-112,-132,110,-112,-109,-110.0,-110.0,,,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-27 13:00,0339a0e41bcee12820eb3e64bb5fadb4,Miami Dolphins,Kansas City Chiefs,No,1223.9,No,AFC,East,AFC,West,-108.67,-109.83,8.5,-8.5,376.67,-508.33,-109.33,-109.83,44.5,-110,-110,350,-455,-110,-110,-105,-115,430,-590,-110,-110,-110,-110,,,-110,-110,,,,,,,-105,-105,,,-107,-107,,,,,,,-112,-109,350,-480,-109,-112,-110.0,-110.0,,,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-27 13:00,555afd4a27aaa392662881cffa8f2eef,New York Giants,Tennessee Titans,No,758.3,No,NFC,East,AFC,South,-113.33,-72.0,-5.58,5.58,-266.67,216.67,-107.5,-111.83,42.67,-110,-110,-250,205,-110,-110,-120,-102,-275,225,-110,-110,-115,-105,,,-105,-115,,,,,,,-110,100,,,-102,-113,,,,,,,-110,-110,-275,220,-108,-113,-115.0,-105.0,,,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-27 13:00,2a529c108305ffa049d8b6cfdbaa4d36,Washington Commanders,Seattle Seahawks,No,2335.3,No,NFC,East,NFC,West,-109.0,-109.5,2.08,-2.08,109.33,-130.33,-108.5,-110.67,41.83,-110,-110,114,-135,-110,-110,-110,-110,102,-120,-105,-115,-110,-110,,,-110,-110,,,,,,,-105,-105,,,-107,-107,,,,,,,-109,-112,112,-136,-109,-112,-110.0,-110.0,,,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-27 16:05,9d2b09e0f9b6dd5ce0d985894f4f98fa,San Francisco 49ers,Arizona Cardinals,Yes,608.8,No,NFC,West,NFC,West,-109.67,-108.83,-8.5,8.5,-511.67,381.67,-110.0,-109.17,48.17,-110,-110,-485,370,-110,-110,-115,-105,-550,410,-110,-110,-110,-110,,,-110,-110,,,,,,,-105,-105,,,-107,-107,,,,,,,-108,-113,-500,365,-113,-108,-110.0,-110.0,,,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-27 16:05,f1724dead3eab61546033032fc782375,Tampa Bay Buccaneers,Minnesota Vikings,No,1313.4,No,NFC,South,NFC,North,-108.0,-110.5,-1.33,1.33,-120.67,34.33,-109.83,-109.33,45.83,-110,-110,-125,105,-110,-110,-105,-115,-116,-102,-110,-110,-110,-110,,,-110,-110,,,,,,,-105,-105,,,-107,-107,,,,,,,-108,-113,-121,100,-112,-109,-110.0,-110.0,,,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-27 16:25,84cfca14efc21363fd605508404cf1ff,Dallas Cowboys,Baltimore Ravens,No,1228.5,No,NFC,East,AFC,North,-110.33,-108.67,3.08,-3.08,136.0,-163.33,-110.5,-108.67,52.42,-110,-110,130,-155,-110,-110,-118,-104,148,-176,-105,-115,-106,-114,,,-115,-105,,,,,,,-101,-109,,,-113,-102,,,,,,,-117,-105,130,-159,-110,-110,-110.0,-110.0,,,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-27 16:25,2e523fcb0497aa689473e290eb2b97de,New Orleans Saints,Las Vegas Raiders,No,1512.6,No,NFC,South,AFC,West,-114.0,-38.0,-3.0,3.0,-166.0,138.33,-110.0,-109.17,44.83,-110,-110,-162,136,-110,-110,-115,-105,-174,146,-115,-105,-120,100,,,-110,-110,,,,,,,-116,105,,,-107,-107,,,,,,,-108,-113,-162,133,-108,-113,-115.0,-105.0,,,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-27 20:20,3bfd8bfb4b8e9a365a0877879b73b16b,Denver Broncos,Los Angeles Rams,No,837.9,Yes,AFC,West,NFC,West,-112.5,-72.67,2.5,-2.5,111.33,-133.0,-108.67,-110.33,46.0,-110,-110,114,-135,-110,-110,-112,-108,112,-132,-105,-115,-115,-105,,,-110,-110,,,,,,,-110,100,,,-107,-107,,,,,,,-113,-108,108,-132,-110,-110,-115.0,-105.0,,,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-28 20:15,47dc7baa254659f3beb2ed2b38c207b6,Chicago Bears,Philadelphia Eagles,No,665.3,Yes,NFC,North,NFC,East,-107.0,-111.83,-1.5,1.5,-117.33,-35.33,-107.83,-111.67,47.75,-105,-115,-118,-102,-110,-110,-104,-118,-112,-104,-102,-120,-110,-110,,,-110,-110,,,,,,,-105,-105,,,-107,-107,,,,,,,-108,-113,-122,100,-108,-113,-110.0,-110.0,,,-110.0,-110.0
