League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NFL,2026-09-15 19:59:00,2026-09-20 16:05,71b3b83747589efdc5baef2c5cf811bf,Los Angeles Chargers,Las Vegas Raiders,Yes,231.8,No,AFC,West,AFC,West,-111.0,-85.89,-6.61,6.61,-303.78,244.56,-107.11,-112.22,43.5,-120,100,-305,245,-110,-110,-115.0,-105.0,-310.0,250.0,-110.0,-110.0,-112.0,-108.0,-295.0,241.0,-105.0,-115.0,-115.0,-105.0,-300.0,250.0,-108.0,-110.0,-107.0,-103.0,-295.0,241.0,-102.0,-113.0,-110.0,-110.0,-300.0,250.0,-105.0,-115.0,-105.0,-117.0,-315.0,245.0,-109.0,-112.0,-110.0,-110.0,-319.0,234.0,-110.0,-110.0,-105.0,-115.0,-295.0,245.0,-105.0,-115.0
NFL,2026-09-15 19:59:00,2026-09-20 16:25,4dd8020192a544385db42374e5555303,Arizona Cardinals,Seattle Seahawks,Yes,1103.7,No,NFC,West,NFC,West,-110.67,-108.11,4.11,-4.11,174.44,-209.89,-111.44,-107.78,41.0,-105,-115,185,-225,-118,-102,-115.0,-105.0,176.0,-210.0,-105.0,-115.0,-112.0,-108.0,174.0,-200.0,-113.0,-107.0,-110.0,-108.0,175.0,-210.0,-110.0,-108.0,-107.0,-103.0,174.0,-200.0,-110.0,-104.0,-115.0,-105.0,170.0,-200.0,-110.0,-110.0,-112.0,-109.0,175.0,-220.0,-112.0,-109.0,-110.0,-110.0,171.0,-224.0,-110.0,-110.0,-110.0,-110.0,170.0,-200.0,-115.0,-105.0
NFL,2026-09-15 19:59:00,2026-09-20 16:25,85ef85098ddd22fe4ecf45e7e3c0a9c0,Dallas Cowboys,Washington Commanders,Yes,1209.4,No,NFC,East,NFC,East,-108.89,-109.78,-4.0,4.0,-207.56,173.0,-107.78,-111.44,50.39,-105,-115,-218,180,-108,-112,-115.0,-105.0,-205.0,172.0,-110.0,-110.0,-110.0,-110.0,-205.0,177.0,-107.0,-113.0,-108.0,-110.0,-210.0,175.0,-108.0,-110.0,-102.0,-108.0,-205.0,177.0,-104.0,-110.0,-110.0,-110.0,-210.0,175.0,-110.0,-110.0,-110.0,-110.0,-200.0,165.0,-108.0,-113.0,-110.0,-110.0,-210.0,161.0,-110.0,-110.0,-110.0,-110.0,-205.0,175.0,-105.0,-115.0
NFL,2026-09-15 19:59:00,2026-09-20 16:25,68bc55903f50af4af4766adcc89fcc61,San Francisco 49ers,Miami Dolphins,No,2558.8,No,NFC,West,AFC,East,-83.89,-112.89,-13.39,13.39,-983.33,630.78,-108.89,-110.33,45.5,-105,-115,-950,625,-108,-112,-104.0,-118.0,-900.0,610.0,-115.0,-105.0,-105.0,-115.0,-1000.0,661.0,-109.0,-111.0,-108.0,-110.0,-900.0,650.0,-108.0,-110.0,100.0,-110.0,-1000.0,661.0,-106.0,-108.0,-110.0,-110.0,-1100.0,650.0,-105.0,-115.0,-108.0,-113.0,-1000.0,600.0,-109.0,-112.0,-110.0,-110.0,-1000.0,570.0,-110.0,-110.0,-105.0,-115.0,-1000.0,650.0,-110.0,-110.0
NFL,2026-09-15 19:59:00,2026-09-20 20:20,50bc247030707d823b9c3581d7eb5760,Kansas City Chiefs,Indianapolis Colts,No,447.8,Yes,AFC,West,AFC,South,-115.0,-28.88,-6.5,6.5,-310.0,250.33,-109.11,-110.11,46.56,-120,100,-305,245,-110,-110,-115.0,-105.0,-330.0,265.0,-110.0,-110.0,-115.0,-105.0,-305.0,249.0,-110.0,-110.0,,,-300.0,250.0,-108.0,-110.0,-110.0,100.0,-305.0,249.0,-107.0,-107.0,-120.0,100.0,-300.0,250.0,-110.0,-110.0,-115.0,-106.0,-335.0,265.0,-107.0,-114.0,-115.0,-105.0,-310.0,230.0,-110.0,-110.0,-110.0,-110.0,-300.0,250.0,-110.0,-110.0
NFL,2026-09-15 19:59:00,2026-09-21 20:15,32367f882fac1a0c20a6335619922025,Los Angeles Rams,New York Giants,No,2454.7,Yes,NFC,West,NFC,East,-110.89,-108.33,-7.06,7.06,-347.78,273.0,-107.33,-112.44,48.33,-115,-105,-355,280,-108,-112,-102.0,-120.0,-370.0,295.0,-102.0,-120.0,-114.0,-106.0,-335.0,270.0,-104.0,-116.0,-115.0,-105.0,-350.0,275.0,-108.0,-112.0,-105.0,-105.0,-335.0,270.0,-101.0,-114.0,-110.0,-110.0,-330.0,265.0,-110.0,-110.0,-112.0,-109.0,-360.0,270.0,-113.0,-108.0,-110.0,-110.0,-360.0,260.0,-110.0,-110.0,-115.0,-105.0,-335.0,272.0,-110.0,-110.0
NFL,2026-09-15 19:59:00,2026-09-24 20:15,e5fbd3b3953b896b1bf897ddadb3cc4b,Green Bay Packers,Atlanta Falcons,No,766.7,Yes,NFC,North,NFC,South,-115.0,-105.67,-6.5,6.5,-292.5,237.5,-111.67,-108.33,46.17,-115,-105,-310,250,-110,-110,-120.0,-102.0,-275.0,225.0,-115.0,-105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-110.0,-110.0,,,-110.0,-110.0
NFL,2026-09-15 19:59:00,2026-09-27 13:00,b225458a282e140c44c45651255f2f6c,Buffalo Bills,Los Angeles Chargers,No,2210.2,No,AFC,East,AFC,West,-115.0,-106.0,-4.0,4.0,-216.5,180.0,-112.5,-107.5,50.0,-110,-110,-218,180,-110,-110,-120.0,-102.0,-215.0,180.0,-115.0,-105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFL,2026-09-15 19:59:00,2026-09-27 13:00,613b8cd3a5fab58f7be4e3fd6f76223e,Cleveland Browns,Carolina Panthers,No,435.7,No,AFC,North,NFC,South,-111.0,-109.0,2.75,-2.75,122.0,-144.5,-107.5,-112.5,40.0,-110,-110,114,-135,-110,-110,-112.0,-108.0,130.0,-154.0,-105.0,-115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFL,2026-09-15 19:59:00,2026-09-27 13:00,71123be049587b6facce3a20c53e5d09,Pittsburgh Steelers,Cincinnati Bengals,Yes,257.0,No,AFC,North,AFC,North,-114.67,-38.67,2.17,-2.17,112.0,-132.5,-108.33,-111.67,46.5,-110,-110,114,-135,-110,-110,-114.0,-106.0,110.0,-130.0,-105.0,-115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-120.0,100.0,,,-110.0,-110.0
NFL,2026-09-15 19:59:00,2026-09-27 13:00,07f552badfa8a565d1be22123713e4da,Detroit Lions,New York Jets,No,476.5,No,NFC,North,AFC,East,-110.0,-110.0,-7.25,7.25,-372.5,295.0,-107.5,-112.5,48.0,-110,-110,-340,270,-110,-110,-110.0,-110.0,-405.0,320.0,-105.0,-115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFL,2026-09-15 19:59:00,2026-09-27 13:00,17a730b7d399feeab6a78c30767c29d2,Indianapolis Colts,Houston Texans,Yes,870.3,No,AFC,South,AFC,South,-106.67,-113.33,2.17,-2.17,118.0,-139.5,-110.0,-110.0,45.17,-110,-110,114,-135,-110,-110,-105.0,-115.0,122.0,-144.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-105.0,-115.0,,,-110.0,-110.0
NFL,2026-09-15 19:59:00,2026-09-27 13:00,1f3cfd315a24d1a7dd5859a8e6b88e18,Jacksonville Jaguars,New England Patriots,No,995.4,No,AFC,South,AFC,East,-112.5,-107.5,-2.0,2.0,-133.5,113.0,-107.5,-112.5,46.0,-110,-110,-135,114,-110,-110,-115.0,-105.0,-132.0,112.0,-105.0,-115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFL,2026-09-15 19:59:00,2026-09-27 13:00,0339a0e41bcee12820eb3e64bb5fadb4,Miami Dolphins,Kansas City Chiefs,No,1223.9,No,AFC,East,AFC,West,-106.67,-113.33,8.0,-8.0,390.0,-522.5,-110.0,-110.0,44.5,-110,-110,350,-455,-110,-110,-105.0,-115.0,430.0,-590.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-105.0,-115.0,,,-110.0,-110.0
NFL,2026-09-15 19:59:00,2026-09-27 13:00,555afd4a27aaa392662881cffa8f2eef,New York Giants,Tennessee Titans,No,758.3,No,NFC,East,AFC,South,-116.67,-37.33,-4.67,4.67,-260.0,212.5,-110.0,-110.0,43.83,-110,-110,-245,200,-110,-110,-120.0,-102.0,-275.0,225.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-120.0,100.0,,,-110.0,-110.0
NFL,2026-09-15 19:59:00,2026-09-27 13:00,2a529c108305ffa049d8b6cfdbaa4d36,Washington Commanders,Seattle Seahawks,No,2335.3,No,NFC,East,NFC,West,-110.0,-110.0,2.0,-2.0,108.0,-127.5,-107.5,-112.5,42.0,-110,-110,114,-135,-110,-110,-110.0,-110.0,102.0,-120.0,-105.0,-115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFL,2026-09-15 19:59:00,2026-09-27 16:05,9d2b09e0f9b6dd5ce0d985894f4f98fa,San Francisco 49ers,Arizona Cardinals,Yes,608.8,No,NFC,West,NFC,West,-111.67,-108.33,-9.5,9.5,-510.0,385.0,-110.0,-110.0,47.5,-110,-110,-470,360,-110,-110,-115.0,-105.0,-550.0,410.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-110.0,-110.0,,,-110.0,-110.0
NFL,2026-09-15 19:59:00,2026-09-27 16:05,f1724dead3eab61546033032fc782375,Tampa Bay Buccaneers,Minnesota Vikings,No,1313.4,No,NFC,South,NFC,North,-108.33,-111.67,-1.5,1.5,-120.5,1.5,-110.0,-110.0,45.5,-110,-110,-125,105,-110,-110,-105.0,-115.0,-116.0,-102.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-110.0,-110.0,,,-110.0,-110.0
NFL,2026-09-15 19:59:00,2026-09-27 16:25,84cfca14efc21363fd605508404cf1ff,Dallas Cowboys,Baltimore Ravens,No,1228.5,No,NFC,East,AFC,North,-110.0,-110.0,2.75,-2.75,130.0,-155.0,-110.0,-110.0,52.0,-110,-110,130,-155,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-110.0,-110.0,,,-110.0,-110.0
NFL,2026-09-15 19:59:00,2026-09-27 16:25,2e523fcb0497aa689473e290eb2b97de,New Orleans Saints,Las Vegas Raiders,No,1512.6,No,NFC,South,AFC,West,-110.0,-110.0,-3.0,3.0,-163.0,137.0,-112.5,-107.5,45.0,-110,-110,-162,136,-110,-110,-110.0,-110.0,-164.0,138.0,-115.0,-105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFL,2026-09-15 19:59:00,2026-09-27 20:20,3bfd8bfb4b8e9a365a0877879b73b16b,Denver Broncos,Los Angeles Rams,No,837.9,Yes,AFC,West,NFC,West,-110.0,-110.0,2.0,-2.0,108.0,-127.5,-107.5,-112.5,46.5,-110,-110,114,-135,-110,-110,-110.0,-110.0,102.0,-120.0,-105.0,-115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFL,2026-09-15 19:59:00,2026-09-28 20:15,47dc7baa254659f3beb2ed2b38c207b6,Chicago Bears,Philadelphia Eagles,No,665.3,Yes,NFC,North,NFC,East,-104.5,-116.5,-1.5,1.5,-115.0,-103.0,-106.0,-115.0,48.0,-105,-115,-118,-102,-110,-110,-104.0,-118.0,-112.0,-104.0,-102.0,-120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
