Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
2025-11-20 20:19:19,2025-11-30 13:00,Carolina Panthers,Los Angeles Rams,No,2126.0,No,-110.57,-108.86,352.5,-502.5,-111.43,-108.71,-110,-110,360,-470,-110,-110,-115.0,-105.0,390.0,-510.0,-105.0,-115.0,-110.0,-110.0,320,-500,-110.0,-110.0,-110,-110,,,-115,-105,-105,-105,,,-113,-102,-110,-110,,,-115,-105,-114,-112,340,-530,-112,-114,,,,,,,,,,,,
2025-11-20 20:19:19,2025-11-30 13:00,Cleveland Browns,San Francisco 49ers,No,2152.6,No,-110.29,-109.0,247.5,-325.75,-110.71,-109.14,-105,-115,240,-298,-110,-110,-115.0,-105.0,275.0,-340.0,-115.0,-105.0,-110.0,-110.0,230,-330,-110.0,-110.0,-110,-110,,,-110,-110,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-117,-108,245,-335,-113,-112,,,,,,,,,,,,
2025-11-20 20:19:19,2025-11-30 13:00,Indianapolis Colts,Houston Texans,Yes,870.3,No,-109.57,-109.71,-204.0,162.0,-110.0,-110.0,-110,-110,-205,170,-110,-110,-110.0,-110.0,-194.0,162.0,-110.0,-110.0,-110.0,-110.0,-212,156,-110.0,-110.0,-110,-110,,,-110,-110,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-112,-113,-205,160,-113,-113,,,,,,,,,,,,
2025-11-20 20:19:19,2025-11-30 13:00,Tennessee Titans,Jacksonville Jaguars,Yes,500.3,No,-109.57,-109.71,253.75,-341.25,-110.14,-109.86,-110,-110,250,-310,-110,-110,-110.0,-110.0,280.0,-350.0,-110.0,-110.0,-110.0,-110.0,255,-370,-110.0,-110.0,-110,-110,,,-110,-110,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-112,-113,230,-335,-114,-112,,,,,,,,,,,,
2025-11-20 20:19:19,2025-11-30 13:00,Miami Dolphins,New Orleans Saints,No,661.3,No,-109.83,-109.5,-227.25,176.0,-109.86,-110.14,-105,-115,-205,170,-105,-115,-115.0,-105.0,-245.0,200.0,-110.0,-110.0,,,-234,171,-110.0,-110.0,-110,-110,,,-110,-110,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-114,-112,-225,163,-117,-109,,,,,,,,,,,,
2025-11-20 20:19:19,2025-11-30 16:05,Seattle Seahawks,Minnesota Vikings,No,1395.6,No,-109.57,-109.86,-394.75,290.0,-110.14,-109.86,-110,-110,-360,285,-110,-110,-110.0,-110.0,-405.0,320.0,-110.0,-110.0,-110.0,-110.0,-429,285,-110.0,-110.0,-110,-110,,,-110,-110,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-112,-114,-385,270,-114,-112,,,,,,,,,,,,
2025-11-20 20:19:19,2025-11-30 16:25,Pittsburgh Steelers,Buffalo Bills,No,172.7,No,-109.83,-109.83,169.0,-213.0,-111.0,-109.0,-115,-105,170,-205,-110,-110,-102.0,-120.0,180.0,-215.0,-112.0,-108.0,,,163,-222,,,-110,-110,,,-110,-110,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-117,-109,163,-210,-117,-109,,,,,,,,,,,,
2025-11-20 20:19:19,2025-11-30 16:25,Los Angeles Chargers,Las Vegas Raiders,Yes,231.8,No,-108.14,-111.43,-452.25,331.25,-110.29,-109.71,-110,-110,-425,330,-110,-110,-102.0,-120.0,-460.0,360.0,-112.0,-108.0,-110.0,-110.0,-469,310,-110.0,-110.0,-110,-110,,,-110,-110,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-110,-115,-455,325,-113,-113,,,,,,,,,,,,
2025-11-20 20:19:19,2025-11-30 20:20,Washington Commanders,Denver Broncos,No,1503.5,Yes,-112.29,-21.29,242.0,-318.25,-109.0,-111.0,-105,-115,240,-298,-110,-110,-106.0,-114.0,265.0,-330.0,-105.0,-115.0,-110.0,-110.0,228,-330,,,-120,100,,,-110,-110,-116,105,,,-107,-107,-120,100,,,-110,-110,-109,-115,235,-315,-112,-114,,,,,,,,,,,,
2025-11-20 20:19:19,2025-12-01 20:15,New England Patriots,New York Giants,No,170.4,Yes,-110.57,-108.86,-380.0,282.5,-110.0,-110.0,-110,-110,-360,285,-110,-110,-115.0,-105.0,-375.0,300.0,-110.0,-110.0,-110.0,-110.0,-400,270,-110.0,-110.0,-110,-110,,,-110,-110,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-114,-112,-385,275,-113,-113,,,,,,,,,,,,
