league,club,squad_value_eur_m,wage_bill_eur_m,squad_size,avg_age,foreigners,avg_value_eur_m
championship,Preston North End,33.3,,44.0,25.0,18.0,0.757
championship,Millwall FC,28.45,,37.0,26.1,18.0,0.769
championship,Ipswich Town,26.85,,45.0,25.3,18.0,0.597
championship,Bolton Wanderers,21.8,,37.0,27.8,9.0,0.589
championship,Rotherham United,11.58,,35.0,25.3,15.0,0.331
ligue_1,Paris Saint-Germain,1010.0,,39.0,25.4,24.0,25.9
ligue_1,Olympique Lyon,467.95,,34.0,24.2,19.0,13.76
ligue_1,AS Monaco,385.83,,57.0,23.9,40.0,6.77
ligue_1,LOSC Lille,267.55,,32.0,24.1,25.0,8.36
ligue_1,Olympique Marseille,258.35,,33.0,26.7,16.0,7.83
ligue_1,OGC Nice,183.2,,38.0,23.2,19.0,4.82
ligue_1,FC Girondins Bordeaux,179.0,,43.0,24.4,23.0,4.16
ligue_1,Stade Rennais FC,168.45,,41.0,24.2,19.0,4.11
ligue_1,AS Saint-Étienne,131.25,,42.0,24.8,18.0,3.13
ligue_1,FC Nantes,119.5,,40.0,25.3,28.0,2.99
ligue_1,FC Toulouse,113.25,,40.0,24.6,23.0,2.83
ligue_1,Montpellier HSC,109.85,,32.0,26.1,19.0,3.43
ligue_1,RC Strasbourg Alsace,98.0,,33.0,25.7,15.0,2.97
ligue_1,Nîmes Olympique,88.15,,31.0,25.5,13.0,2.84
ligue_1,Stade Reims,86.95,,37.0,25.0,22.0,2.35
ligue_1,Angers SCO,79.7,,38.0,26.9,20.0,2.1
ligue_1,EA Guingamp,70.65,,37.0,25.7,19.0,1.91
ligue_1,Amiens SC,70.5,,36.0,25.9,20.0,1.96
ligue_1,SM Caen,67.55,,39.0,25.3,19.0,1.73
ligue_1,Dijon FCO,65.8,,32.0,26.3,18.0,2.06
ligue_2,FC Metz,43.25,,37.0,24.8,28.0,1.17
ligue_2,ESTAC Troyes,36.05,,40.0,26.4,25.0,0.901
ligue_2,FC Lorient,33.95,,42.0,25.4,18.0,0.808
ligue_2,Stade Brestois 29,32.35,,29.0,26.2,6.0,1.12
ligue_2,RC Lens,29.7,,40.0,24.3,25.0,0.743
ligue_2,Le Havre AC,23.3,,31.0,25.8,24.0,0.752
ligue_2,AJ Auxerre,22.7,,33.0,26.0,19.0,0.688
ligue_2,FC Sochaux-Montbéliard,21.85,,45.0,23.0,25.0,0.486
ligue_2,Clermont Foot 63,20.55,,34.0,25.0,13.0,0.604
ligue_2,Paris FC,19.08,,29.0,27.3,21.0,0.658
ligue_2,AS Nancy-Lorraine,18.4,,43.0,25.8,21.0,0.428
ligue_2,Valenciennes FC,16.15,,37.0,25.9,15.0,0.436
ligue_2,LB Châteauroux,15.25,,31.0,25.8,16.0,0.492
ligue_2,Chamois Niortais FC,12.7,,34.0,23.4,13.0,0.374
ligue_2,US Orléans,11.5,,31.0,25.7,11.0,0.371
ligue_2,Red Star FC,11.2,,36.0,26.5,15.0,0.311
ligue_2,AC Ajaccio,10.78,,30.0,26.5,11.0,0.359
ligue_2,GFC Ajaccio,9.6,,31.0,25.4,11.0,0.31
ligue_2,AS Béziers,9.6,,36.0,26.4,17.0,0.267
bundesliga,Bayern Munich,784.88,,32.0,26.2,15.0,24.53
bundesliga,Borussia Dortmund,643.25,,34.0,24.9,21.0,18.92
bundesliga,RB Leipzig,479.0,,34.0,23.0,22.0,14.09
bundesliga,Bayer 04 Leverkusen,429.4,,31.0,25.1,16.0,13.85
bundesliga,TSG 1899 Hoffenheim,336.25,,38.0,24.9,23.0,8.85
bundesliga,Eintracht Frankfurt,313.4,,47.0,25.4,29.0,6.67
bundesliga,Borussia Mönchengladbach,264.3,,30.0,25.7,16.0,8.81
bundesliga,VfL Wolfsburg,229.25,,36.0,25.5,23.0,6.37
bundesliga,FC Schalke 04,221.3,,39.0,25.6,24.0,5.67
bundesliga,Hertha BSC,207.63,,36.0,24.9,20.0,5.77
bundesliga,SV Werder Bremen,168.05,,33.0,26.2,18.0,5.09
bundesliga,1.FSV Mainz 05,159.73,,35.0,25.3,20.0,4.56
bundesliga,VfB Stuttgart,143.75,,34.0,25.4,17.0,4.23
bundesliga,FC Augsburg,139.25,,40.0,25.4,20.0,3.48
bundesliga,SC Freiburg,122.1,,34.0,25.5,8.0,3.59
bundesliga,Fortuna Düsseldorf,94.95,,34.0,26.7,17.0,2.79
bundesliga,Hannover 96,91.43,,37.0,26.2,18.0,2.47
bundesliga,1.FC Nuremberg,54.4,,29.0,25.7,12.0,1.88
la_liga,FC Barcelona,1160.0,,39.0,25.2,20.0,29.72
la_liga,Atlético de Madrid,969.7,,37.0,24.7,17.0,26.21
la_liga,Real Madrid,896.1,,36.0,25.2,17.0,24.89
la_liga,Valencia CF,499.65,,33.0,25.2,17.0,15.14
la_liga,Sevilla FC,306.3,,38.0,26.6,21.0,8.06
la_liga,Real Sociedad,300.95,,33.0,24.6,8.0,9.12
la_liga,Real Betis Balompié,290.75,,34.0,25.9,15.0,8.55
la_liga,Athletic Bilbao,234.25,,32.0,27.3,3.0,7.32
la_liga,Celta de Vigo,234.1,,30.0,25.9,19.0,7.8
la_liga,Villarreal CF,230.65,,32.0,27.9,12.0,7.21
la_liga,RCD Espanyol Barcelona,174.7,,30.0,27.3,9.0,5.82
la_liga,Getafe CF,132.2,,28.0,27.7,13.0,4.72
la_liga,CD Leganés,112.45,,38.0,26.4,19.0,2.96
la_liga,Deportivo Alavés,110.8,,29.0,26.4,10.0,3.82
la_liga,Levante UD,107.85,,31.0,26.4,10.0,3.48
la_liga,Girona FC,97.25,,33.0,26.3,12.0,2.95
la_liga,SD Eibar,93.9,,29.0,28.1,8.0,3.24
la_liga,Rayo Vallecano,86.7,,36.0,26.7,13.0,2.41
la_liga,Real Valladolid CF,83.0,,41.0,25.6,8.0,2.02
la_liga,SD Huesca,61.4,,39.0,27.2,15.0,1.57
serie_a,Juventus FC,871.05,,59.0,25.4,26.0,14.76
serie_a,SSC Napoli,646.8,,54.0,24.8,27.0,11.98
serie_a,Inter Milan,617.93,,60.0,24.5,30.0,10.3
serie_a,AC Milan,578.48,,45.0,24.9,22.0,12.86
serie_a,AS Roma,459.05,,57.0,24.2,28.0,8.05
serie_a,Atalanta BC,367.68,,88.0,23.2,29.0,4.18
serie_a,ACF Fiorentina,315.33,,56.0,23.4,36.0,5.63
serie_a,SS Lazio,291.15,,57.0,24.9,33.0,5.11
serie_a,US Sassuolo,242.05,,59.0,24.4,15.0,4.1
serie_a,Torino FC,239.23,,62.0,24.2,29.0,3.86
serie_a,UC Sampdoria,216.75,,59.0,24.0,31.0,3.67
serie_a,Udinese Calcio,201.2,,56.0,25.2,41.0,3.59
serie_a,Genoa CFC,191.73,,69.0,24.3,35.0,2.78
serie_a,Cagliari Calcio,155.38,,49.0,26.4,18.0,3.17
serie_a,Bologna FC 1909,119.68,,48.0,25.4,28.0,2.49
serie_a,FC Empoli,105.6,,59.0,24.6,24.0,1.79
serie_a,SPAL,97.4,,51.0,25.8,20.0,1.91
serie_a,Parma Calcio 1913,95.75,,70.0,26.1,19.0,1.37
serie_a,Chievo Verona,54.7,,68.0,25.2,32.0,0.804
serie_a,Frosinone Calcio,54.53,,44.0,26.2,10.0,1.24
epl,Southampton FC,305.4,,40.0,25.5,20.0,7.64
ligue_2,Grenoble Foot 38,11.75,,33.0,27.9,12.0,0.356
