league,club,squad_value_eur_m,wage_bill_eur_m,squad_size,avg_age,foreigners,avg_value_eur_m
bundesliga,Eintracht Frankfurt,228.75,,,,,
bundesliga,TSG 1899 Hoffenheim,211.43,,,,,
bundesliga,SC Freiburg,176.35,,,,,
bundesliga,VfB Stuttgart,174.23,,,,,
bundesliga,Hertha BSC,155.78,,,,,
bundesliga,1.FSV Mainz 05,131.03,,,,,
bundesliga,1.FC Union Berlin,115.9,,,,,
bundesliga,1.FC Köln,99.28,,,,,
bundesliga,FC Augsburg,95.3,,,,,
bundesliga,Arminia Bielefeld,65.85,,,,,
bundesliga,VfL Bochum,52.25,,,,,
bundesliga,SpVgg Greuther Fürth,36.95,,,,,
serie_a,Juventus FC,642.5,,,,,
serie_a,Inter Milan,558.55,,,,,
serie_a,AC Milan,546.95,,,,,
serie_a,SSC Napoli,477.23,,,,,
serie_a,Atalanta BC,398.75,,,,,
serie_a,AS Roma,381.25,,,,,
serie_a,SS Lazio,264.53,,,,,
serie_a,ACF Fiorentina,325.8,,,,,
serie_a,US Sassuolo,251.0,,,,,
serie_a,Torino FC,223.4,,,,,
serie_a,Bologna FC 1909,186.2,,,,,
serie_a,Hellas Verona,162.98,,,,,
serie_a,Udinese Calcio,142.3,,,,,
serie_a,Cagliari Calcio,134.53,,,,,
serie_a,UC Sampdoria,128.55,,,,,
serie_a,FC Empoli,126.5,,,,,
serie_a,Genoa CFC,121.28,,,,,
serie_a,Spezia Calcio,78.5,,,,,
serie_a,Venezia FC,80.98,,,,,
serie_a,US Salernitana 1919,70.56,,,,,
la_liga,Real Madrid,770.75,,,,,
la_liga,FC Barcelona,735.6,,,,,
la_liga,Atlético de Madrid,661.8,,,,,
la_liga,Villarreal CF,408.9,,,,,
la_liga,Sevilla FC,385.0,,,,,
la_liga,Real Sociedad,376.95,,,,,
la_liga,Valencia CF,310.6,,,,,
la_liga,Real Betis Balompié,259.0,,,,,
la_liga,Athletic Bilbao,226.05,,,,,
la_liga,Getafe CF,208.68,,,,,
la_liga,RCD Espanyol Barcelona,131.6,,,,,
la_liga,Celta de Vigo,120.0,,,,,
la_liga,CA Osasuna,108.45,,,,,
la_liga,Granada CF,103.75,,,,,
la_liga,Levante UD,77.9,,,,,
la_liga,RCD Mallorca,74.15,,,,,
la_liga,Elche CF,72.98,,,,,
la_liga,Cádiz CF,67.8,,,,,
la_liga,Rayo Vallecano,67.2,,,,,
la_liga,Deportivo Alavés,65.35,,,,,
bundesliga_2,SV Werder Bremen,62.1,,,,,
bundesliga_2,FC Schalke 04,43.83,,,,,
bundesliga_2,Hamburger SV,43.73,,,,,
bundesliga_2,1.FC Nuremberg,28.83,,,,,
bundesliga_2,Hannover 96,28.6,,,,,
bundesliga_2,Fortuna Düsseldorf,27.28,,,,,
bundesliga_2,FC St. Pauli,25.68,,,,,
bundesliga_2,SV Darmstadt 98,20.33,,,,,
bundesliga_2,SC Paderborn 07,19.9,,,,,
bundesliga_2,1.FC Heidenheim 1846,18.35,,,,,
bundesliga_2,Karlsruher SC,17.6,,,,,
bundesliga_2,SV Sandhausen,16.98,,,,,
bundesliga_2,Holstein Kiel,16.85,,,,,
bundesliga_2,SSV Jahn Regensburg,16.78,,,,,
bundesliga_2,SG Dynamo Dresden,14.2,,,,,
bundesliga_2,FC Ingolstadt 04,13.83,,,,,
bundesliga_2,FC Hansa Rostock,13.5,,,,,
bundesliga_2,FC Erzgebirge Aue,11.0,,,,,
la_liga_2,Real Valladolid CF,66.65,,,,,
la_liga_2,UD Almería,63.75,,,,,
la_liga_2,CD Leganés,42.55,,,,,
la_liga_2,Girona FC,38.05,,,,,
la_liga_2,Real Sociedad B,32.55,,,,,
la_liga_2,Sporting Gijón,30.25,,,,,
la_liga_2,SD Huesca,29.9,,,,,
la_liga_2,SD Eibar,29.25,,,,,
la_liga_2,Real Zaragoza,27.7,,,,,
la_liga_2,UD Las Palmas,25.55,,,,,
la_liga_2,Málaga CF,24.5,,,,,
la_liga_2,Real Oviedo,22.6,,,,,
la_liga_2,CD Mirandés,22.05,,,,,
la_liga_2,CD Tenerife,20.9,,,,,
la_liga_2,SD Ponferradina,15.55,,,,,
la_liga_2,CF Fuenlabrada,14.98,,,,,
la_liga_2,FC Cartagena,14.1,,,,,
la_liga_2,UD Ibiza,12.3,,,,,
la_liga_2,SD Amorebieta,10.0,,,,,
la_liga_2,AD Alcorcón,9.38,,,,,
la_liga_2,Burgos CF,9.25,,,,,
la_liga_2,CD Lugo,8.98,,,,,
serie_b,Parma Calcio 1913,64.1,,46,25.6,31,1.39
serie_b,AC Monza,47.74,,36,27.0,8,1.33
serie_b,US Cremonese,43.6,,37,25.8,7,1.18
serie_b,US Lecce,42.3,,40,25.0,22,1.06
serie_b,Brescia Calcio,36.15,,36,26.1,18,1.0
serie_b,Pisa Sporting Club,34.33,,37,26.0,13,0.928
serie_b,SPAL,31.13,,47,25.9,12,0.662
serie_b,Frosinone Calcio,30.73,,43,25.2,14,0.715
serie_b,FC Crotone,27.18,,47,24.1,20,0.578
serie_b,Benevento Calcio,27.15,,39,25.3,11,0.696
serie_b,Ascoli Calcio,20.95,,41,26.3,13,0.511
serie_b,LR Vicenza,19.6,,48,26.0,8,0.408
serie_b,AC Perugia Calcio,18.85,,39,26.0,9,0.483
serie_b,Como 1907,18.53,,35,24.8,8,0.529
serie_b,Cosenza Calcio,18.03,,49,24.8,15,0.368
serie_b,Reggina 1914,17.35,,44,26.4,16,0.394
serie_b,Pordenone Calcio,17.33,,44,25.9,7,0.394
serie_b,Ternana Calcio,17.25,,39,27.4,10,0.442
serie_b,AS Cittadella,17.08,,35,25.6,7,0.488
serie_b,US Alessandria Calcio 1912,14.13,,45,26.6,3,0.314
