game_id,season,week,game_type,gameday,home_team,away_team,num_snapshots,first_seen,last_seen,open_novig_home,close_novig_home,novig_move_home,open_spread_home,close_spread_home,spread_move,open_total,close_total,total_move,captured,has_spread_points
2025_11_WAS_MIA,2025,11,REG,2025-11-16,MIA,WAS,44.0,2025-11-04 20:20:29,2025-11-16 07:31:54,0.6472300184393907,0.5642037302725968,-0.0830262881667938,,,,,,,True,False
2025_11_CAR_ATL,2025,11,REG,2025-11-16,ATL,CAR,44.0,2025-11-04 20:20:29,2025-11-16 07:31:54,0.6094736430276106,0.6499286252149903,0.04045498218737964,,,,,,,True,False
2025_11_TB_BUF,2025,11,REG,2025-11-16,BUF,TB,44.0,2025-11-04 20:20:29,2025-11-16 07:31:54,0.6952180767209668,0.7120561725163468,0.01683809579537998,,,,,,,True,False
2025_11_LAC_JAX,2025,11,REG,2025-11-16,JAX,LAC,44.0,2025-11-04 20:20:29,2025-11-16 07:31:54,0.465277025528337,0.4060560181267916,-0.0592210074015454,,,,,,,True,False
2025_11_CHI_MIN,2025,11,REG,2025-11-16,MIN,CHI,44.0,2025-11-04 20:20:29,2025-11-16 07:31:54,0.5734820853894015,0.58015084831875,0.006668762929348482,,,,,,,True,False
2025_11_GB_NYG,2025,11,REG,2025-11-16,NYG,GB,44.0,2025-11-04 20:20:29,2025-11-16 07:31:54,0.27424749163879597,0.2420432926848172,-0.032204198953978774,,,,,,,True,False
2025_11_CIN_PIT,2025,11,REG,2025-11-16,PIT,CIN,44.0,2025-11-04 20:20:29,2025-11-16 07:31:54,0.7049340498290181,0.6839539846233444,-0.020980065205673637,,,,,,,True,False
2025_11_HOU_TEN,2025,11,REG,2025-11-16,TEN,HOU,44.0,2025-11-04 20:20:29,2025-11-16 07:31:54,0.22336218873570587,0.3016587799382033,0.0782965912024974,,,,,,,True,False
2025_11_SF_ARI,2025,11,REG,2025-11-16,ARI,SF,45.0,2025-11-04 20:20:29,2025-11-16 13:22:26,0.643218132625453,0.3723287352458275,-0.27088939737962553,,,,,,,True,False
2025_11_SEA_LA,2025,11,REG,2025-11-16,LA,SEA,45.0,2025-11-04 20:20:29,2025-11-16 13:22:26,0.5752251562047772,0.6119555752348195,0.03673041903004226,,,,,,,True,False
2025_11_BAL_CLE,2025,11,REG,2025-11-16,CLE,BAL,45.0,2025-11-04 20:20:29,2025-11-16 13:22:26,0.23300970873786409,0.21493438741875065,-0.018075321319113435,,,,,,,True,False
2025_11_KC_DEN,2025,11,REG,2025-11-16,DEN,KC,45.0,2025-11-04 20:20:29,2025-11-16 13:22:26,0.40954611913783073,0.33920971521946425,-0.07033640391836649,,,,,,,True,False
2025_11_DET_PHI,2025,11,REG,2025-11-16,PHI,DET,46.0,2025-11-04 20:20:29,2025-11-16 20:21:02,0.3567818673745469,0.5586685046278045,0.20188663725325756,,,,,,,True,False
2025_11_DAL_LV,2025,11,REG,2025-11-17,LV,DAL,49.0,2025-11-04 20:20:29,2025-11-17 13:25:32,0.37638838535315244,0.3712866365019316,-0.005101748851220833,,,,,,,True,False
