date,season,home,away,elo_home_pre,elo_away_pre,p_home,home_win,run_diff
2009-04-08,2009,CIN,NYM,1498.888571881974,1501.111428118026,0.5312988515104201,0.0,-2
2009-04-08,2009,MIA,WSN,1505.1167366477616,1494.8832633522384,0.5491071118338212,1.0,2
2009-04-08,2009,HOU,CHC,1499.207917893494,1500.792082106506,0.5322142951722685,0.0,-5
2009-04-08,2009,LAA,ATH,1500.1354961520583,1499.8645038479417,0.534872058033825,0.0,-2
2009-04-08,2009,MIN,SEA,1498.1040380851089,1501.8959619148911,0.5290490091777765,1.0,1
2009-04-08,2009,PHI,ATL,1495.2272571727683,1504.7727428272317,0.5207897250666842,1.0,1
2009-04-08,2009,SDP,LAD,1499.3187103222472,1500.6812896777528,0.5325318446138484,0.0,-3
2009-04-08,2009,SFG,MIL,1502.2234022671505,1497.7765977328495,0.5408470071455375,0.0,-2
2009-04-08,2009,STL,PIT,1500.960130024344,1499.039869975656,0.5372332004489908,0.0,-3
2009-04-08,2009,TEX,CLE,1503.0354163207821,1496.9645836792179,0.5431676703546763,1.0,3
2009-04-08,2009,TOR,DET,1503.8109389490955,1496.1890610509045,0.5453822977687416,0.0,-4
2009-04-09,2009,BAL,NYY,1503.9665712012923,1496.0334287987077,0.5458265168870216,0.0,-9
2009-04-09,2009,BOS,TBR,1498.621353597513,1501.378646402487,0.530532676051894,0.0,-1
2009-04-09,2009,CHW,KCR,1499.7418164909088,1500.2581835090912,0.5337442922451474,0.0,-1
2009-04-09,2009,CIN,NYM,1497.1374975403003,1502.8625024596997,0.5262756040440336,1.0,2
2009-04-09,2009,MIN,SEA,1499.0744395275813,1500.9255604724187,0.5318316894418698,0.0,-2
2009-04-09,2009,SDP,LAD,1497.1039726423323,1502.8960273576677,0.5261793771327445,1.0,1
2009-04-09,2009,SFG,MIL,1500.4408587621322,1499.5591412378678,0.5357465789593375,1.0,6
2009-04-09,2009,STL,PIT,1498.7258399551774,1501.2741600448226,0.5308322794862108,1.0,1
2009-04-09,2009,TEX,CLE,1504.909709676736,1495.090290323264,0.5485169193086173,1.0,4
2009-04-09,2009,TOR,DET,1501.1776621086972,1498.8223378913028,0.5378557778175244,1.0,4
2009-04-10,2009,ARI,LAD,1495.411848887793,1501.9188326654855,0.5251532229695248,1.0,5
2009-04-10,2009,ATL,WSN,1503.7827575093263,1493.4199638687069,0.5492914168307129,1.0,1
2009-04-10,2009,BAL,TBR,1500.1961351978575,1502.481858088288,0.5312087326159485,1.0,1
2009-04-10,2009,CHW,MIN,1498.6319264369797,1497.3216090390094,0.536360176675207,0.0,-7
2009-04-10,2009,CLE,TOR,1492.9433914862739,1503.3826246315589,0.5195056081780441,0.0,-6
2009-04-10,2009,COL,PHI,1504.588151112207,1496.2172424906737,0.5464511485100497,1.0,7
2009-04-10,2009,DET,TEX,1496.6173753684411,1507.0566085137261,0.5195056081780441,1.0,13
2009-04-10,2009,MIA,NYM,1506.5800361312931,1501.3140468667928,0.5420178131643041,1.0,1
2009-04-10,2009,KCR,NYY,1501.3680735630203,1499.8038648021425,0.5367236041241488,0.0,-3
2009-04-10,2009,LAA,BOS,1498.3726451045948,1497.518141911712,0.5357076143508797,1.0,3
2009-04-10,2009,MIL,CHC,1496.8792639744163,1503.6528821156064,0.5247704616623973,1.0,1
2009-04-10,2009,ATH,SEA,1501.6273548954052,1502.6783909609906,0.5329782673040862,0.0,-1
2009-04-10,2009,SDP,SFG,1498.0811673345145,1503.1207360255837,0.5272591986872704,1.0,4
2009-04-10,2009,STL,HOU,1499.6920257539161,1496.3471178843936,0.5392714306359122,1.0,2
2009-04-11,2009,ARI,LAD,1497.9441472713672,1499.3865342819113,0.5324174766615717,0.0,-9
