retro_id,mlbam_id,bbref_id,name_first,name_last
allel101,110154,allenll01,Lloyd,Allen
allem101,110155,allenmy01,Myron,Allen
allem102,820731,,Major,Allen
allen001,110156,allenne01,Neil,Allen
allen002,669397,allenni02,Nick,Allen
allen101,110139,allenni01,Nick,Allen
allen102,820730,allenne02,Newt,Allen
allep101,110150,allenpe01,Pete,Allen
aller001,110162,allenro02,Rod,Allen
aller101,110163,allenro01,Ron,Allen
alles101,110143,allensl01,Sled,Allen
allet101,820727,allento02,Todd,Allen
allet102,820728,allento01,Toussaint,Allen
allgn001,680430,allgeni01,Nick,Allgeyer
allia101,110170,allisar01,Art,Allison
allia102,110169,allisan01,Andy,Allison
allia901,820726,allismo01,Amos,Allison
allib101,110168,alliebo01,Bob,Allietta
allib102,110175,allisbi01,Bill,Allison
allib103,110176,allisbo01,Bob,Allison
allib104,,,Bill,Allington
allid001,110171,allisda01,Dana,Allison
allid101,110172,allisdo01,Doug,Allison
allig101,110167,alliega01,Gair,Allie
allim101,110174,allismi01,Milo,Allison
allim102,110173,allisma01,Mack,Allison
alliu101,820724,allis02,,Allison
allrb001,110177,allrebe01,Beau,Allred
almaa001,150355,almanar01,Armando,Almanza
almac001,110179,almanca01,Carlos,Almánzar
almal101,,,Lou,Almada
almam101,110178,almadme01,Mel,Almada
almer101,110180,almeira01,Rafael,Almeida
almoa001,501659,almonab01,Abraham,Almonte
almoa002,546991,almoral01,Albert,Almora
almob001,110181,almonbi01,Bill,Almon
almoe001,400095,almoner01,Erick,Almonte
almoe002,407824,almoned01,Edwin,Almonte
almoh001,150356,almonhe01,Héctor,Almonte
almom001,602083,almonmi01,Miguel,Almonte
almoy001,622075,almonye01,Yency,Almonte
almoz001,501660,almonzo01,Zoilo,Almonte
aloml101,110182,alomalu01,Luis,Alomá
alomr001,110183,alomaro01,Roberto,Alomar
aloms001,110184,alomasa02,Sandy,Alomar
aloms101,110185,alomasa01,Sandy,Alomar
alonp001,624413,alonspe01,Pete,Alonso
alonr101,820722,alonsro01,Rogelio,Alonso
