bbref_id,retro_id,mlbam_id,name_first,name_last
sampsad01,sampa001,592716,Adrian,Sampson
sanchaa01,sanca006,592717,Aaron,Sanchez
sanchan01,sanca004,434671,Aníbal,Sánchez
sanchcr01,sancc002,650911,Cristopher,Sánchez
sanchjo01,sancj002,456043,Jonathan,Sánchez
sandopa02,sandp002,663776,Patrick,Sandoval
santaer01,sante001,429722,Ervin,Santana
santajo02,santj003,276371,Johan,Santana
santihe01,santh001,502327,Héctor,Santiago
saundjo01,saunj001,434578,Joe,Saunders
scherma01,schem001,453286,Max,Scherzer
schlica01,schlc001,693645,Cam,Schlittler
schmicl01,schmc002,657376,Clarke,Schmidt
searsjp01,searj001,676664,JP,Sears
sengako01,sengk001,673540,Kodai,Senga
senzaan01,senza001,622608,Antonio,Senzatela
severlu01,sevel001,622663,Luis,Severino
shielja02,shiej002,448306,James,Shields
shoemma01,shoem001,533167,Matt,Shoemaker
simonal01,simoa001,430580,Alfredo,Simón
singebr01,singb001,663903,Brady,Singer
skaggty01,skagt001,572140,Tyler,Skaggs
skenepa01,skenp001,694973,Paul,Skenes
skubata01,skubt001,669373,Tarik,Skubal
sloweke01,slowk001,458713,Kevin,Slowey
smithca03,smitc006,592761,Caleb,Smith
smithsh02,smits003,681343,Shane,Smith
smylydr01,smyld001,592767,Drew,Smyly
snellbl01,snelb001,605483,Blake,Snell
snellia01,sneli001,430636,Ian,Snell
soriajo02,sorij002,667755,José,Soriano
sorokmi01,sorom001,647336,Michael,Soroka
sparkgl01,sparg001,642098,Glenn,Sparkman
spencmi01,spenm001,687765,Mitch,Spence
sprinje01,sprij001,605488,Jeffrey,Springs
stammcr01,stamc001,489334,Craig,Stammen
staufti01,staut001,431162,Tim,Stauffer
steelju01,steej002,657006,Justin,Steele
stonega01,stong001,694813,Gavin,Stone
straida01,strad003,573185,Dan,Straily
strasst01,stras001,544931,Stephen,Strasburg
stratch01,strac001,608717,Chris,Stratton
stridsp01,stris002,675911,Spencer,Strider
stripro01,strir001,548389,Ross,Stripling
