Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,FGA,FGM,Sfty
2033,2006,Clemson,25,13,8,5,0,.615,425,210,215,25,23,23,14,11,0
2034,2006,Michigan,25,13,11,2,0,.846,380,207,173,25,24,22,13,11,1
2035,2006,South Florida,25,13,9,4,0,.692,299,220,79,25,22,20,23,16,1
2036,2006,Wake Forest,25,14,11,3,0,.786,302,215,87,25,24,23,23,14,0
2037,2005,Iowa State,25,12,7,5,0,.583,339,230,109,25,23,22,22,18,0
2038,2005,North Carolina State,25,12,7,5,0,.583,249,212,37,25,25,24,22,12,1
2039,2005,Texas,25,13,13,0,0,1.000,652,213,439,25,22,21,20,14,0
2040,2004,Florida Atlantic,25,12,9,3,0,.750,299,207,92,25,22,21,16,8,0
2041,2004,Iowa,25,12,10,2,0,.833,292,211,81,25,23,21,22,12,2
2042,2004,LSU,25,12,9,3,0,.750,344,205,139,25,23,20,13,11,0
2043,2004,Miami (FL),25,12,9,3,0,.750,380,204,176,25,25,24,21,10,0
2044,2003,Auburn,25,13,8,5,0,.615,342,212,130,25,23,22,16,12,1
2045,2003,Southern Mississippi,25,13,9,4,0,.692,293,226,67,25,21,21,25,17,0
2046,2002,Maryland,25,14,11,3,0,.786,451,228,223,25,25,22,25,18,1
2047,2024,Indiana,24,13,11,2,0,.846,537,203,334,24,23,23,14,12,0
2048,2024,Ohio State,24,16,14,2,0,.875,571,206,365,24,16,16,18,12,0
2049,2023,Nebraska,24,12,5,7,0,.417,216,219,-3,24,20,20,24,17,0
2050,2023,Ohio,24,13,10,3,0,.769,316,206,110,24,24,23,20,13,0
2051,2021,Auburn,24,13,6,7,0,.462,368,283,85,24,28,28,24,19,0
2052,2021,Central Michigan,24,13,9,4,0,.692,420,335,85,24,37,35,19,14,0
2053,2021,Miami (FL),24,12,7,5,0,.583,409,341,68,24,36,36,25,19,1
2054,2021,Missouri,24,13,6,7,0,.462,378,440,-62,24,57,57,17,13,1
2055,2021,Oregon,24,14,10,4,0,.714,440,378,62,24,40,39,15,13,2
2056,2021,USC,24,12,4,8,0,.333,344,381,-37,24,52,51,11,6,0
2057,2021,Tennessee,24,13,7,6,0,.538,511,378,133,24,44,44,18,14,0
2058,2020,Duke,24,11,2,9,0,.182,273,419,-146,24,54,53,13,10,0
2059,2020,Georgia State,24,10,6,4,0,.600,333,317,16,24,41,38,11,7,0
2060,2020,South Carolina,24,10,2,8,0,.200,235,360,-125,24,46,45,13,11,0
2061,2020,UTSA,24,12,7,5,0,.583,339,308,31,24,37,35,16,11,0
2062,2019,UAB,24,14,9,5,0,.643,324,302,22,24,36,33,15,13,0
2063,2019,Arizona State,24,13,8,5,0,.615,322,291,31,24,39,39,12,6,0
2064,2019,Arkansas State,24,13,8,5,0,.615,438,444,-6,24,50,46,23,18,1
2065,2019,Colorado State,24,12,4,8,0,.333,337,374,-37,24,46,45,15,15,0
2066,2019,Duke,24,12,5,7,0,.417,303,350,-47,24,40,39,20,17,0
2067,2019,Florida Atlantic,24,14,11,3,0,.786,510,318,192,24,37,34,14,10,1
2068,2019,Hawaii,24,15,10,5,0,.667,508,478,30,24,60,59,25,17,0
2069,2019,Kansas,24,12,3,9,0,.250,282,433,-151,24,52,50,25,15,0
2070,2019,Mississippi State,24,13,6,7,0,.462,359,375,-16,24,48,46,15,11,0
2071,2019,Temple,24,13,8,5,0,.615,342,337,5,24,43,41,17,10,3
2072,2019,Utah State,24,13,7,6,0,.538,380,399,-19,24,52,49,13,10,0
2073,2019,Vanderbilt,24,12,3,9,0,.250,198,381,-183,24,49,49,15,10,0
2074,2018,Alabama,24,15,14,1,0,.933,684,271,413,24,35,34,15,9,0
2075,2018,Arkansas State,24,13,8,5,0,.615,394,333,61,24,41,39,10,8,0
2076,2018,Bowling Green,24,12,3,9,0,.250,292,480,-188,24,65,62,8,6,1
2077,2018,Buffalo,24,14,10,4,0,.714,484,363,121,24,46,46,13,9,0
2078,2018,Northwestern,24,14,9,5,0,.643,339,325,14,24,34,33,30,20,1
2079,2018,Purdue,24,13,6,7,0,.462,397,390,7,24,46,45,24,17,0
2080,2018,Rutgers,24,12,1,11,0,.083,162,377,-215,24,48,48,15,11,0
2081,2018,Temple,24,13,8,5,0,.615,454,352,102,24,45,41,15,9,0
2082,2018,West Virginia,24,12,8,4,0,.667,483,326,157,24,39,38,15,12,1
2083,2017,Charlotte,24,12,1,11,0,.083,170,393,-223,24,49,49,18,12,0
2084,2017,Florida International,24,13,8,5,0,.615,333,370,-37,24,42,39,20,13,1
2085,2017,Georgia State,24,12,7,5,0,.583,244,297,-53,24,36,35,19,11,0
2086,2017,Iowa State,24,13,8,5,0,.615,380,272,108,24,31,30,17,12,0
2087,2017,Louisville,24,13,8,5,0,.615,495,356,139,24,46,45,16,9,0
2088,2017,Miami (OH),24,12,5,7,0,.417,293,289,4,24,35,35,20,10,0
2089,2017,Notre Dame,24,13,10,3,0,.769,445,279,166,24,31,31,22,14,0
2090,2017,Texas Christian,24,14,11,3,0,.786,470,266,204,24,31,30,25,14,1
2091,2017,Virginia,24,13,6,7,0,.462,293,369,-76,24,45,44,14,9,1
2092,2017,West Virginia,24,13,7,6,0,.538,449,409,40,24,46,46,29,21,0
2093,2016,Connecticut,24,12,3,9,0,.250,178,337,-159,24,43,43,19,12,0
2094,2016,Oklahoma State,24,13,10,3,0,.769,502,345,157,24,44,37,15,10,0
2095,2016,Purdue,24,12,3,9,0,.250,295,459,-164,24,55,54,18,15,0
2096,2016,South Carolina,24,13,6,7,0,.462,270,344,-74,24,40,40,20,12,0
2097,2016,Texas,24,12,5,7,0,.417,383,378,5,24,45,43,18,15,0
2098,2016,Utah State,24,12,3,9,0,.250,287,352,-65,24,41,41,20,17,0
2099,2016,Washington State,24,13,8,5,0,.615,496,343,153,24,41,41,17,10,0
2100,2015,Akron,24,13,8,5,0,.615,311,279,32,24,36,36,9,7,0
2101,2015,Hawaii,24,13,3,10,0,.231,229,463,-234,24,55,55,18,17,0
2102,2015,Kent State,24,12,3,9,0,.250,157,313,-156,24,35,34,21,12,0
2103,2015,LSU,24,12,9,3,0,.750,394,291,103,24,35,34,13,9,0
2104,2015,Oklahoma State,24,13,10,3,0,.769,514,396,118,24,47,45,19,13,1
2105,2015,Southern Mississippi,24,14,9,5,0,.643,559,358,201,24,40,39,29,21,1
2106,2015,Western Michigan,24,13,8,5,0,.615,468,368,100,24,42,41,13,9,2
2107,2015,Wyoming,24,12,2,10,0,.167,228,408,-180,24,50,48,18,13,0
2108,2011,Temple,24,13,9,4,0,.692,398,181,217,24,22,21,12,4,0
2109,2009,Air Force,24,13,8,5,0,.615,386,204,182,24,21,19,18,13,1
2110,2007,Iowa,24,12,6,6,0,.500,222,225,-3,24,22,21,30,20,0
2111,2007,Utah,24,13,9,4,0,.692,341,219,122,24,21,21,22,16,0
2112,2005,Penn State,24,12,11,1,0,.917,413,204,209,24,18,16,22,12,0
2113,2004,California,24,12,10,2,0,.833,441,192,249,24,24,21,13,9,0
2114,2003,Iowa,24,13,10,3,0,.769,373,210,163,24,22,22,19,12,2
2115,2003,Nebraska,24,13,10,3,0,.769,322,188,134,24,22,20,12,8,0
2116,2002,Alabama,24,13,10,3,0,.769,367,200,167,24,19,19,13,9,2
2117,2002,Tennessee,24,13,8,5,0,.615,296,227,69,24,22,21,29,20,1
2118,2025,Notre Dame,23,12,10,2,0,.833,504,211,293,23,20,20,20,17,0
2119,2023,Notre Dame,23,13,10,3,0,.769,509,207,302,23,22,22,26,15,0
2120,2022,Georgia,23,15,15,0,0,1.000,616,214,402,23,19,19,23,19,0
2121,2021,Eastern Michigan,23,13,7,6,0,.538,392,390,2,23,46,44,19,14,0
2122,2021,Houston,23,14,12,2,0,.857,502,286,216,23,34,33,15,11,0
2123,2021,Iowa State,23,13,7,6,0,.538,407,267,140,23,34,33,17,10,0
2124,2021,Troy,23,12,5,7,0,.417,274,313,-39,23,37,36,17,15,1
2125,2021,Tulsa,23,13,7,6,0,.538,343,346,-3,23,40,39,26,17,0
2126,2020,Missouri,23,10,5,5,0,.500,267,323,-56,23,41,39,13,10,0
2127,2020,North Carolina State,23,12,8,4,0,.667,363,350,13,23,37,37,24,21,1
2128,2020,Pitt,23,11,6,5,0,.545,319,270,49,23,33,33,13,9,0
2129,2019,Air Force,23,13,11,2,0,.846,443,258,185,23,31,27,12,9,0
2130,2019,LSU,23,15,15,0,0,1.000,726,328,398,23,38,37,16,11,0
2131,2019,Middle Tennessee State,23,12,4,8,0,.333,316,359,-43,23,41,39,26,20,0
2132,2019,Navy,23,13,11,2,0,.846,483,290,193,23,35,35,19,13,0
2133,2019,Texas Christian,23,12,5,7,0,.417,364,317,47,23,35,33,20,16,0
2134,2019,UTSA,23,12,4,8,0,.333,244,407,-163,23,48,47,20,18,0
2135,2019,Virginia Tech,23,13,8,5,0,.615,401,321,80,23,37,35,16,12,0
2136,2018,Arizona State,23,13,7,6,0,.538,389,332,57,23,37,37,20,17,1
2137,2018,Florida Atlantic,23,12,5,7,0,.417,373,381,-8,23,47,46,12,7,0
2138,2018,Florida International,23,13,9,4,0,.692,450,328,122,23,39,39,17,11,0
2139,2018,Kansas,23,12,3,9,0,.250,286,360,-74,23,45,43,15,13,1
2140,2018,Kansas State,23,12,5,7,0,.417,270,305,-35,23,35,34,25,15,1
2141,2018,Maryland,23,12,5,7,0,.417,342,344,-2,23,40,40,16,16,1
2142,2018,Vanderbilt,23,13,6,7,0,.462,370,346,24,23,38,37,28,21,0
2143,2017,Arizona State,23,13,7,6,0,.538,414,427,-13,23,50,49,22,18,0
2144,2017,Arkansas State,23,12,7,5,0,.583,454,309,145,23,37,34,17,9,1
2145,2017,Illinois,23,12,2,10,0,.167,185,378,-193,23,49,48,13,10,0
2146,2017,Kansas State,23,13,8,5,0,.615,420,327,93,23,36,34,21,17,0
2147,2017,Kentucky,23,13,7,6,0,.538,332,367,-35,23,45,43,24,16,0
2148,2017,Missouri,23,13,7,6,0,.538,488,414,74,23,48,48,25,20,2
2149,2017,Oklahoma,23,14,12,2,0,.857,632,379,253,23,43,42,22,17,0
2150,2017,South Alabama,23,12,4,8,0,.333,238,318,-80,23,33,30,28,19,0
2151,2017,Troy,23,13,11,2,0,.846,410,240,170,23,26,23,18,11,1
2152,2017,Utah State,23,13,6,7,0,.462,392,350,42,23,41,40,19,16,2
2153,2016,Akron,23,12,5,7,0,.417,329,403,-74,23,49,48,22,17,1
2154,2016,Duke,23,12,4,8,0,.333,280,338,-58,23,40,40,17,13,0
2155,2016,Minnesota,23,13,9,4,0,.692,381,287,94,23,29,28,18,15,1
2156,2016,North Texas,23,13,5,8,0,.385,322,424,-102,23,49,46,20,14,1
2157,2016,Troy,23,13,10,3,0,.769,438,287,151,23,35,35,14,12,0
2158,2016,Vanderbilt,23,13,6,7,0,.462,299,312,-13,23,35,33,25,19,0
2159,2016,West Virginia,23,13,10,3,0,.769,405,312,93,23,33,32,23,18,0
2160,2015,California,23,13,8,5,0,.615,493,399,94,23,43,42,23,21,0
2161,2015,Eastern Michigan,23,12,1,11,0,.083,305,505,-200,23,65,65,14,8,1
2162,2015,Middle Tennessee State,23,13,7,6,0,.538,442,346,96,23,41,40,27,12,1
2163,2015,New Mexico,23,13,7,6,0,.538,389,369,20,23,44,43,24,18,0
2164,2015,Old Dominion,23,12,5,7,0,.417,291,429,-138,23,51,50,21,17,0
2165,2015,Utah,23,13,10,3,0,.769,398,290,108,23,33,33,21,15,1
2166,2012,Florida State,23,14,12,2,0,.857,550,206,344,23,21,21,18,15,1
2167,2009,Iowa,23,13,11,2,0,.846,301,200,101,23,23,23,21,13,0
2168,2006,Boston College,23,13,10,3,0,.769,338,204,134,23,22,22,20,14,1
2169,2006,BYU,23,13,11,2,0,.846,478,191,287,23,21,19,15,10,0
2170,2006,Florida,23,14,13,1,0,.929,416,189,227,23,20,19,19,10,1
2171,2005,Clemson,23,12,8,4,0,.667,316,211,105,23,20,20,22,17,0
2172,2004,Alabama,23,12,6,6,0,.500,295,189,106,23,23,21,14,10,0
2173,2004,Boston College,23,12,9,3,0,.750,296,203,93,23,23,21,21,14,1
2174,2004,Georgia,23,12,10,2,0,.833,335,198,137,23,21,20,21,12,1
2175,2004,North Carolina State,23,11,5,6,0,.455,264,218,46,23,23,23,25,19,0
2176,2004,Purdue,23,12,7,5,0,.583,381,206,175,23,22,20,28,16,0
2177,2003,Florida State,23,13,10,3,0,.769,419,217,202,23,21,20,30,19,0
2178,2003,Georgia,23,14,11,3,0,.786,371,203,168,23,22,19,23,14,2
2179,2003,Miami (FL),23,13,11,2,0,.846,361,196,165,23,22,22,18,12,0
2180,2002,North Texas,23,12,8,5,0,.615,249,192,57,23,20,19,21,11,1
2181,2002,Southern Mississippi,23,13,7,6,0,.538,282,238,44,23,21,21,30,25,0
2182,2025,Toledo,22,13,8,5,0,.615,401,173,228,22,21,18,10,7,0
2183,2021,Ball State,22,13,6,7,0,.462,313,369,-56,22,42,40,22,19,2
2184,2021,Florida,22,13,6,7,0,.462,399,348,51,22,40,39,23,16,0
2185,2021,Florida Atlantic,22,12,5,7,0,.417,305,309,-4,22,36,35,16,10,2
2186,2021,Georgia State,22,13,8,5,0,.615,366,352,14,22,38,38,21,16,2
2187,2021,Kentucky,22,13,10,3,0,.769,420,282,138,22,32,31,19,15,0
2188,2021,Memphis,22,12,6,6,0,.500,361,351,10,22,40,40,19,15,0
2189,2021,Ohio State,22,13,11,2,0,.846,594,296,298,22,39,38,13,8,0
2190,2021,Oregon State,22,13,7,6,0,.538,406,335,71,22,39,39,22,16,0
2191,2021,Virginia Tech,22,13,6,7,0,.462,308,329,-21,22,40,38,14,12,0
2192,2020,Kansas State,22,10,4,6,0,.400,266,322,-56,22,40,40,18,10,0
2193,2020,Ole Miss,22,10,5,5,0,.500,392,383,9,22,46,45,13,12,0
2194,2020,Rutgers,22,9,3,6,0,.333,240,289,-49,22,35,35,18,12,1
2195,2020,SMU,22,10,7,3,0,.700,386,309,77,22,40,39,11,8,0
2196,2020,Syracuse,22,11,1,10,0,.091,196,360,-164,22,40,40,24,16,0
2197,2019,Auburn,22,13,9,4,0,.692,432,254,178,22,31,29,18,11,0
2198,2019,UCF,22,13,10,3,0,.769,564,299,265,22,31,31,24,16,0
2199,2019,Eastern Michigan,22,13,6,7,0,.462,379,398,-19,22,46,45,18,11,1
2200,2019,Florida State,22,13,6,7,0,.462,363,362,1,22,37,34,37,28,0
