Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,FGA,FGM,Sfty
147,2023,Southern Mississippi,56,12,3,9,0,.250,278,429,-151,56,53,53,15,12,0
148,2023,Texas State,56,13,8,5,0,.615,477,427,50,56,48,46,16,13,0
149,2022,SMU,56,13,7,6,0,.538,484,440,44,56,52,50,22,16,1
150,2022,Vanderbilt,56,12,5,7,0,.417,295,432,-137,56,52,51,17,15,0
151,2012,Army,56,12,2,10,0,.167,291,424,-133,56,55,55,13,11,0
152,2011,Toledo,56,13,9,4,0,.692,549,412,137,56,53,50,13,8,0
153,2010,Duke,56,12,3,9,0,.250,303,425,-122,56,50,50,14,11,0
154,2010,San Jose State,56,13,1,12,0,.077,209,451,-242,56,54,53,24,20,1
155,2009,Houston,56,14,10,4,0,.714,591,421,170,56,55,49,19,12,0
156,2009,New Mexico,56,12,1,11,0,.083,196,431,-235,56,54,51,19,12,3
157,2009,Texas A&M,56,13,6,7,0,.462,427,436,-9,56,50,47,18,15,0
158,2008,Eastern Michigan,56,12,3,9,0,.250,309,427,-118,56,55,54,19,11,1
159,2008,Tulane,56,12,2,10,0,.167,200,414,-214,56,56,54,13,8,0
160,2007,Memphis,56,13,7,6,0,.538,380,419,-39,56,54,51,17,10,0
161,2005,Ball State,56,11,4,7,0,.364,233,416,-183,56,54,51,13,9,0
162,2003,Arizona,56,12,2,10,0,.167,181,429,-248,56,55,55,18,12,1
163,2024,Arkansas State,55,13,8,5,0,.615,336,418,-82,55,54,52,15,12,0
164,2024,Massachusetts,55,12,2,10,0,.167,270,426,-156,55,53,52,14,14,0
165,2024,Temple,55,12,3,9,0,.250,235,425,-190,55,50,49,16,12,1
166,2023,California,55,13,6,7,0,.462,393,426,-33,55,51,50,21,14,0
167,2023,Kent State,55,12,1,11,0,.083,176,415,-239,55,53,53,12,10,0
168,2022,Hawaii,55,13,3,10,0,.231,257,451,-194,55,53,53,28,22,0
169,2022,North Texas,55,14,7,7,0,.500,473,444,29,55,54,53,25,19,1
170,2022,Texas Christian,55,15,13,2,0,.867,582,435,147,55,51,50,23,17,0
171,2012,Houston,55,12,5,7,0,.417,389,432,-43,55,53,52,19,16,0
172,2012,Miami (OH),55,12,4,8,0,.333,280,419,-139,55,53,52,18,11,1
173,2011,Indiana,55,12,1,11,0,.083,257,448,-191,55,53,53,22,21,0
174,2011,Memphis,55,12,2,10,0,.167,195,421,-226,55,50,50,20,13,0
175,2010,Wake Forest,55,12,3,9,0,.250,273,430,-157,55,54,50,20,16,0
176,2009,Florida International,55,12,3,9,0,.250,275,424,-149,55,53,52,21,14,0
177,2009,Miami (OH),55,12,1,11,0,.083,187,410,-223,55,54,50,15,10,0
178,2008,Nevada,55,13,7,6,0,.538,489,420,69,55,54,52,18,12,0
179,2007,Bowling Green,55,13,8,5,0,.615,392,417,-25,55,51,50,16,11,1
180,2007,Florida Atlantic,55,12,8,5,0,.615,405,432,-27,55,48,47,21,17,0
181,2007,Minnesota,55,12,1,11,0,.083,315,440,-125,55,53,51,30,19,0
182,2005,Idaho,55,11,2,9,0,.182,243,419,-176,55,53,47,19,12,1
183,2004,Ball State,55,11,2,9,0,.182,225,405,-180,55,53,52,9,7,1
184,2004,Baylor,55,11,3,8,0,.273,224,406,-182,55,53,53,13,7,1
185,2004,Florida A&M,55,11,3,8,0,.273,253,408,-155,55,52,48,11,8,1
186,2003,East Carolina,55,12,1,11,0,.083,217,428,-211,55,53,50,18,14,1
187,2002,Buffalo,55,12,1,11,0,.083,214,416,-202,55,54,51,17,11,0
188,2002,Kent State,55,12,3,9,0,.250,202,424,-222,55,53,48,20,14,1
189,2002,Tulsa,55,12,1,11,0,.083,233,417,-184,55,53,50,19,11,0
190,2025,Rice,54,13,5,8,0,.385,248,428,-180,54,52,52,20,16,1
191,2025,UCLA,54,12,3,9,0,.250,218,401,-183,54,51,49,11,8,1
192,2024,Charlotte,54,12,5,7,0,.417,284,421,-137,54,52,50,23,15,1
193,2024,Middle Tennessee State,54,12,3,9,0,.250,217,411,-194,54,52,50,15,11,2
194,2024,New Mexico State,54,12,3,9,0,.250,259,435,-176,54,51,50,23,19,1
195,2024,North Texas,54,13,6,7,0,.462,436,444,-8,54,48,47,26,23,0
196,2023,Temple,54,12,3,9,0,.250,253,428,-175,54,52,52,20,16,1
197,2023,Vanderbilt,54,12,2,10,0,.167,274,434,-160,54,51,50,23,20,0
198,2022,Bowling Green,54,13,6,7,0,.462,305,423,-118,54,50,50,17,13,0
199,2022,USC,54,14,11,3,0,.786,579,409,170,54,47,45,13,10,1
200,2012,Central Michigan,54,13,7,6,0,.538,375,421,-46,54,52,52,16,15,0
