Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,XP%,FGA,FGM,FG%,2PM,Sfty
82,2022,Ohio State,75,13,11,2,0,.846,575,273,302,75,75,74,98.7,20,17,85.0,0,0
83,2021,Ohio State,75,13,11,2,0,.846,594,296,298,75,76,76,100.0,21,20,95.2,0,1
84,2019,Oklahoma,75,14,12,2,0,.857,590,382,208,75,75,75,100.0,21,19,90.5,1,0
85,2018,UCF,75,13,12,1,0,.923,562,295,267,75,74,74,100.0,14,12,85.7,1,0
86,2017,Florida Atlantic,75,14,11,3,0,.786,568,318,250,75,69,65,94.2,21,15,71.4,4,0
87,2017,Ohio State,75,14,12,2,0,.857,576,266,310,75,71,71,100.0,21,17,81.0,1,1
88,2016,Western Michigan,75,14,13,1,0,.929,582,277,305,75,73,71,97.3,24,19,79.2,1,1
89,2015,Houston,75,14,13,1,0,.929,566,290,276,75,74,75,101.4,17,13,76.5,0,1
90,2015,Southern Mississippi,75,14,9,5,0,.643,559,358,201,75,74,70,94.6,19,13,68.4,0,0
91,2014,Western Kentucky,75,13,8,5,0,.615,577,519,58,75,72,71,98.6,21,16,76.2,2,0
92,2013,Fresno State,75,13,11,2,0,.846,564,394,170,75,75,71,94.7,16,11,68.8,1,0
93,2010,Auburn,75,14,14,0,0,1.000,577,337,240,75,75,74,98.7,22,17,77.3,0,1
94,2007,Florida,75,13,9,4,0,.692,552,331,221,75,74,72,97.3,15,10,66.7,0,0
95,2004,Utah,75,12,12,0,0,1.000,544,234,310,75,75,71,94.7,7,7,100.0,0,1
96,2023,USC,74,13,8,5,0,.615,544,447,97,74,68,66,97.1,15,10,66.7,2,0
97,2019,UCF,74,13,10,3,0,.769,564,299,265,74,72,71,98.6,17,15,88.2,1,1
98,2017,Oklahoma State,74,13,10,3,0,.769,585,382,203,74,70,70,100.0,29,23,79.3,1,0
99,2014,Michigan State,74,13,11,2,0,.846,559,280,279,74,73,73,100.0,22,14,63.6,0,0
100,2008,Rice,74,13,10,3,0,.769,537,433,104,74,73,73,100.0,10,6,60.0,1,0
101,2008,Texas,74,13,12,1,0,.923,551,244,307,74,72,72,100.0,14,11,78.6,1,0
102,2004,Boise State,74,12,11,1,0,.917,587,308,279,74,71,69,97.2,27,24,88.9,0,1
103,2024,Miami (FL),73,13,10,3,0,.769,571,329,242,73,66,66,100.0,20,19,95.0,5,0
104,2023,Liberty,73,14,13,1,0,.929,536,340,196,73,73,71,97.3,15,9,60.0,0,0
105,2022,Utah,73,14,10,4,0,.714,541,300,241,73,70,69,98.6,14,10,71.4,2,0
106,2021,Alabama,73,15,13,2,0,.867,598,302,296,73,72,71,98.6,29,23,79.3,2,0
107,2016,Alabama,73,15,14,1,0,.933,582,195,387,73,73,72,98.6,29,22,75.9,0,0
108,2016,Navy,73,14,9,5,0,.643,531,434,97,73,68,65,95.6,10,8,80.0,1,1
109,2015,North Carolina,73,14,11,3,0,.786,570,343,227,73,68,68,100.0,23,20,87.0,0,0
110,2015,Oklahoma,73,13,11,2,0,.846,566,286,280,73,73,71,97.3,24,19,79.2,0,0
111,2012,Oklahoma State,73,13,8,5,0,.615,594,367,227,73,72,72,100.0,34,28,82.4,0,0
112,2011,Stanford,73,13,11,2,0,.846,561,285,276,73,72,68,94.4,24,17,70.8,1,1
113,2010,Texas Christian,73,13,13,0,0,1.000,541,156,385,73,73,68,93.2,13,11,84.6,0,1
114,2003,Kansas State,73,15,11,4,0,.733,549,244,305,73,68,67,98.5,17,12,70.6,2,2
115,2025,Utah,72,13,11,2,0,.846,537,246,291,72,71,68,95.8,15,11,73.3,0,1
116,2024,Indiana,72,13,11,2,0,.846,537,203,334,72,69,69,100.0,11,10,90.9,2,1
117,2021,Georgia,72,15,14,1,0,.933,579,153,426,72,72,71,98.6,27,22,81.5,0,2
118,2021,Wake Forest,72,14,11,3,0,.786,574,404,170,72,65,65,100.0,25,23,92.0,4,0
119,2019,Appalachian State,72,14,13,1,0,.929,543,280,263,72,73,72,98.6,16,11,68.8,0,0
120,2019,SMU,72,13,10,3,0,.769,544,434,110,72,65,58,89.2,16,12,75.0,4,0
121,2017,Penn State,72,13,11,2,0,.846,534,214,320,72,71,71,100.0,17,9,52.9,0,2
122,2016,Pitt,72,13,8,5,0,.615,532,458,74,72,69,66,95.7,17,10,58.8,1,1
123,2013,Auburn,72,14,12,2,0,.857,553,346,207,72,67,66,98.5,21,15,71.4,3,0
124,2012,Georgia,72,14,12,2,0,.857,529,275,254,72,67,63,94.0,14,8,57.1,3,2
125,2011,Toledo,72,13,9,4,0,.692,549,412,137,72,67,66,98.5,19,15,78.9,3,0
126,2010,Hawaii,72,14,10,4,0,.714,554,357,197,72,71,71,100.0,21,17,81.0,0,0
127,2007,Boise State,72,13,10,3,0,.769,551,281,270,72,70,69,98.6,19,16,84.2,1,0
128,2007,Kansas,72,13,12,1,0,.923,556,213,343,72,67,66,98.5,26,18,69.2,0,2
129,2003,Texas,72,13,10,3,0,.769,533,280,253,72,65,63,96.9,12,10,83.3,4,0
130,2025,Oregon,71,15,13,2,0,.867,554,268,286,71,67,67,100.0,25,19,76.0,1,1
131,2023,Georgia,71,14,13,1,0,.929,562,219,343,71,71,71,100.0,25,21,84.0,0,1
132,2023,Oklahoma,71,13,10,3,0,.769,542,305,237,71,69,69,100.0,21,15,71.4,0,1
133,2019,Memphis,71,14,12,2,0,.857,566,370,196,71,66,65,98.5,25,23,92.0,0,1
134,2017,Arizona,71,13,7,6,0,.538,537,447,90,71,69,67,97.1,19,14,73.7,1,0
135,2016,Louisville,71,13,9,4,0,.692,553,309,244,71,69,68,98.6,25,19,76.0,1,0
136,2015,Clemson,71,15,14,1,0,.933,577,325,252,71,70,65,92.9,33,28,84.8,0,1
137,2015,Oregon,71,13,9,4,0,.692,559,488,71,71,67,67,100.0,24,22,91.7,0,0
138,2014,Boise State,71,14,12,2,0,.857,556,375,181,71,71,68,95.8,21,16,76.2,0,1
139,2014,Georgia Tech,71,14,11,3,0,.786,530,360,170,71,66,65,98.5,18,11,61.1,0,0
140,2013,Northern Illinois,71,14,12,2,0,.857,555,351,204,71,71,69,97.2,32,20,62.5,0,0
141,2012,Alabama,71,14,13,1,0,.929,542,153,389,71,70,69,98.6,20,15,75.0,1,0
142,2012,Northern Illinois,71,14,12,2,0,.857,540,278,262,71,70,69,98.6,19,15,78.9,0,0
143,2010,Oklahoma State,71,13,11,2,0,.846,575,343,232,71,70,68,97.1,31,27,87.1,0,0
144,2008,Houston,71,13,8,5,0,.615,528,402,126,71,64,62,96.9,18,12,66.7,2,0
145,2008,Oregon,71,13,10,3,0,.769,545,367,178,71,65,63,96.9,27,18,66.7,1,0
146,2002,Texas Tech,71,14,9,5,0,.643,537,439,98,71,64,62,96.9,19,13,68.4,5,0
147,2025,Notre Dame,70,12,10,2,0,.833,504,211,293,70,67,63,94.0,9,5,55.6,1,1
148,2021,Coastal Carolina,70,13,11,2,0,.846,532,281,251,70,67,65,97.0,11,9,81.8,2,2
149,2016,Texas Tech,70,12,5,7,0,.417,524,522,2,70,70,65,92.9,14,13,92.9,0,0
150,2016,Tulsa,70,13,10,3,0,.769,552,388,164,70,67,67,100.0,26,21,80.8,0,0
151,2011,Texas Christian,70,13,11,2,0,.846,531,279,252,70,64,61,95.3,17,14,82.4,4,0
152,2010,Tulsa,70,13,10,3,0,.769,538,394,144,70,65,64,98.5,24,16,66.7,3,0
153,2010,Wisconsin,70,13,11,2,0,.846,539,267,272,70,68,68,100.0,22,17,77.3,0,0
154,2007,Missouri,70,14,12,2,0,.857,558,326,232,70,67,67,100.0,25,21,84.0,2,2
155,2007,Texas Tech,70,13,9,4,0,.692,532,337,195,70,67,67,100.0,21,13,61.9,2,1
156,2002,Miami (FL),70,13,12,1,0,.923,527,248,279,70,70,66,94.3,22,13,59.1,0,1
157,2002,Oklahoma,70,14,12,2,0,.857,541,216,325,70,65,61,93.8,22,16,72.7,3,3
158,2024,Boise State,69,14,12,2,0,.857,522,316,206,69,65,65,100.0,18,13,72.2,2,0
159,2024,Penn State,69,16,13,3,0,.813,530,264,266,69,66,65,98.5,23,17,73.9,0,0
160,2023,Michigan,69,15,15,0,0,1.000,538,156,382,69,68,66,97.1,21,18,85.7,0,2
161,2023,Washington,69,15,14,1,0,.933,540,372,168,69,64,64,100.0,22,18,81.8,2,2
162,2020,BYU,69,12,11,1,0,.917,522,184,338,69,66,63,95.5,13,13,100.0,3,0
163,2019,Louisiana,69,14,11,3,0,.786,531,276,255,69,69,67,97.1,23,16,69.6,0,1
164,2015,Arkansas State,69,13,9,4,0,.692,520,393,127,69,66,63,95.5,18,14,77.8,2,0
165,2015,Texas Christian,69,13,11,2,0,.846,547,354,193,69,4,60,1500.0,25,21,84.0,3,2
166,2013,Arizona State,69,14,10,4,0,.714,556,373,183,69,65,63,96.9,30,25,83.3,1,1
167,2012,West Virginia,69,13,7,6,0,.538,513,495,18,69,66,64,97.0,19,11,57.9,1,0
168,2010,Northern Illinois,69,14,11,3,0,.786,532,265,267,69,67,59,88.1,30,19,63.3,1,0
169,2009,Nevada,69,13,8,5,0,.615,497,371,126,69,65,61,93.8,9,6,66.7,2,0
170,2008,Oklahoma State,69,13,9,4,0,.692,530,365,165,69,65,65,100.0,19,15,78.9,2,1
171,2005,Louisville,69,12,9,3,0,.750,521,285,236,69,66,63,95.5,16,14,87.5,0,1
172,2004,Bowling Green,69,12,9,3,0,.750,532,282,250,69,69,69,100.0,21,15,71.4,0,2
173,2025,James Madison,68,14,12,2,0,.857,519,257,262,68,65,65,100.0,19,14,73.7,2,0
174,2025,Tennessee,68,13,8,5,0,.615,517,375,142,68,67,67,100.0,19,14,73.7,0,0
175,2024,Texas,68,16,13,3,0,.813,528,245,283,68,66,66,100.0,25,16,64.0,2,1
176,2023,SMU,68,14,11,3,0,.786,542,249,293,68,67,66,98.5,27,20,74.1,1,0
177,2022,Michigan,68,14,13,1,0,.929,566,225,341,68,63,63,100.0,35,29,82.9,4,0
178,2019,Hawaii,68,15,10,5,0,.667,508,478,30,68,64,64,100.0,17,10,58.8,2,1
179,2015,Ole Miss,68,13,10,3,0,.769,531,294,237,68,63,66,104.8,25,19,76.0,0,0
180,2015,Stanford,68,14,12,2,0,.857,529,316,213,68,67,67,100.0,20,18,90.0,0,0
181,2013,East Carolina,68,13,10,3,0,.769,522,322,200,68,66,64,97.0,24,16,66.7,1,0
182,2013,Missouri,68,14,12,2,0,.857,548,323,225,68,69,66,95.7,25,18,72.0,1,0
183,2012,Clemson,68,13,11,2,0,.846,533,323,210,68,62,60,96.8,22,19,86.4,3,1
184,2012,Florida State,68,14,12,2,0,.857,550,206,344,68,66,65,98.5,30,25,83.3,1,0
185,2011,Northern Illinois,68,14,11,3,0,.786,536,424,112,68,66,64,97.0,28,20,71.4,1,1
