league,season,club,spend_eur_m,sales_eur_m,net_eur_m,arrivals,departures
serie_a,2014-15,SSC Napoli,34.8,20.45,14.35,8,39
serie_a,2014-15,Torino FC,23.2,33.86,-10.66,22,40
serie_a,2014-15,UC Sampdoria,24.25,26.52,-2.27,23,51
serie_a,2014-15,US Palermo,19.7,18.5,1.2,18,41
serie_a,2014-15,US Sassuolo Calcio,19.3,12.6,6.7,13,31
serie_a,2014-15,Udinese Calcio,29.2,25.4,3.8,20,59
serie_a,2015-16,AC Milan,102.27,11.16,91.11,16,56
serie_a,2015-16,ACF Fiorentina,24.9,26.85,-1.95,18,52
serie_a,2015-16,AS Roma,60.1,134.25,-74.15,25,62
serie_a,2015-16,Atalanta BC,23.83,37.95,-14.12,20,73
serie_a,2015-16,Bologna FC 1909,26.63,0.8,25.83,23,45
serie_a,2015-16,Carpi FC,0.3,0.28,0.02,32,40
serie_a,2015-16,Chievo Verona,6.13,15.41,-9.28,20,71
serie_a,2015-16,Empoli FC,6.35,11.5,-5.15,16,33
serie_a,2015-16,FC Internazionale Milano,102.45,115.32,-12.87,20,72
serie_a,2015-16,Frosinone Calcio,0.4,0.2,0.2,14,23
serie_a,2015-16,Genoa CFC,16.7,43.15,-26.45,23,50
serie_a,2015-16,Hellas Verona FC,6.3,2.05,4.25,23,54
serie_a,2015-16,Juventus FC,185.5,81.28,104.22,24,83
serie_a,2015-16,SS Lazio,31.25,2.37,28.88,15,37
serie_a,2015-16,SSC Napoli,42.7,18.29,24.41,14,36
serie_a,2015-16,Torino FC,28.05,19.75,8.3,12,43
serie_a,2015-16,UC Sampdoria,34.67,16.07,18.6,29,59
serie_a,2015-16,US Palermo,12.25,52.9,-40.65,22,42
serie_a,2015-16,US Sassuolo Calcio,30.7,25.0,5.7,11,28
serie_a,2015-16,Udinese Calcio,21.42,74.12,-52.7,17,61
serie_a,2016-17,AC Milan,29.56,25.15,4.41,12,29
serie_a,2016-17,ACF Fiorentina,15.73,31.05,-15.32,16,44
serie_a,2016-17,AS Roma,102.6,43.43,59.17,19,60
serie_a,2016-17,Atalanta BC,15.94,41.33,-25.39,18,69
serie_a,2016-17,Bologna FC 1909,31.3,16.98,14.32,22,42
serie_a,2016-17,Cagliari Calcio,9.72,11.32,-1.6,14,37
serie_a,2016-17,Chievo Verona,12.57,6.28,6.29,15,57
serie_a,2016-17,Delfino Pescara,14.29,22.27,-7.98,34,67
serie_a,2016-17,Empoli FC,7.0,15.0,-8.0,14,31
serie_a,2016-17,FC Crotone,5.95,7.75,-1.8,26,39
serie_a,2016-17,FC Internazionale Milano,159.85,18.5,141.35,18,57
serie_a,2016-17,Genoa CFC,27.2,50.3,-23.1,28,56
serie_a,2016-17,Juventus FC,170.2,176.93,-6.73,12,82
serie_a,2016-17,SS Lazio,32.7,28.7,4.0,8,36
serie_a,2016-17,SSC Napoli,99.09,116.8,-17.72,9,38
serie_a,2016-17,Torino FC,28.48,26.43,2.05,18,50
serie_a,2016-17,UC Sampdoria,39.65,80.71,-41.06,22,54
serie_a,2016-17,US Palermo,8.48,29.25,-20.77,16,39
serie_a,2016-17,US Sassuolo Calcio,27.51,27.8,-0.29,12,22
serie_a,2016-17,Udinese Calcio,26.5,32.23,-5.73,15,61
serie_a,2017-18,AC Milan,186.48,34.48,152.0,13,34
serie_a,2017-18,ACF Fiorentina,79.5,93.58,-14.08,23,42
serie_a,2017-18,AS Roma,91.15,155.0,-63.85,14,59
serie_a,2017-18,Atalanta BC,61.37,78.04,-16.67,18,80
serie_a,2017-18,Benevento Calcio,23.08,3.98,19.1,31,34
serie_a,2017-18,Bologna FC 1909,13.0,0.0,13.0,15,34
serie_a,2017-18,Cagliari Calcio,31.09,19.88,11.22,14,34
serie_a,2017-18,Chievo Verona,2.95,17.67,-14.72,18,59
serie_a,2017-18,FC Crotone,3.0,0.0,3.0,18,34
serie_a,2017-18,FC Internazionale Milano,137.55,79.24,58.31,12,66
serie_a,2017-18,Genoa CFC,14.17,46.72,-32.54,23,55
serie_a,2017-18,Hellas Verona FC,3.05,8.05,-5.0,20,35
serie_a,2017-18,Juventus FC,177.6,145.65,31.95,14,70
serie_a,2017-18,SPAL 2013 Ferrara,8.74,0.54,8.19,28,31
serie_a,2017-18,SS Lazio,28.1,73.92,-45.82,11,24
serie_a,2017-18,SSC Napoli,68.0,17.45,50.55,9,33
serie_a,2017-18,Torino FC,26.35,79.8,-53.45,13,39
serie_a,2017-18,UC Sampdoria,51.0,71.46,-20.46,12,43
serie_a,2017-18,US Sassuolo Calcio,35.5,19.25,16.25,14,33
serie_a,2017-18,Udinese Calcio,22.59,17.7,4.89,15,37
serie_a,2018-19,AC Milan,193.77,88.1,105.67,13,27
serie_a,2018-19,ACF Fiorentina,60.66,43.36,17.29,21,42
serie_a,2018-19,AS Roma,164.1,150.46,13.64,15,46
serie_a,2018-19,Atalanta BC,59.3,21.56,37.74,14,81
serie_a,2018-19,Bologna FC 1909,31.22,44.99,-13.78,15,38
serie_a,2018-19,Cagliari Calcio,22.5,7.85,14.65,17,31
serie_a,2018-19,Chievo Verona,9.47,17.62,-8.15,19,52
serie_a,2018-19,Empoli FC,17.3,22.9,-5.6,24,43
serie_a,2018-19,FC Internazionale Milano,97.6,87.42,10.18,12,54
serie_a,2018-19,Frosinone Calcio,9.56,0.8,8.76,25,24
serie_a,2018-19,Genoa CFC,58.88,84.36,-25.49,33,72
serie_a,2018-19,Juventus FC,259.7,111.67,148.03,9,35
serie_a,2018-19,Parma Calcio 1913,20.4,0.6,19.8,31,48
serie_a,2018-19,SPAL 2013 Ferrara,21.9,1.35,20.55,23,41
serie_a,2018-19,SS Lazio,51.28,38.6,12.68,11,30
serie_a,2018-19,SSC Napoli,70.5,100.8,-30.3,10,34
serie_a,2018-19,Torino FC,53.15,17.2,35.95,15,48
serie_a,2018-19,UC Sampdoria,56.45,90.12,-33.67,19,44
serie_a,2018-19,US Sassuolo Calcio,53.97,50.38,3.59,17,40
serie_a,2018-19,Udinese Calcio,52.9,13.53,39.37,18,43
serie_a,2019-20,AC Milan,122.78,59.23,63.55,11,28
serie_a,2019-20,ACF Fiorentina,56.5,15.32,41.18,20,47
serie_a,2019-20,AS Roma,117.4,106.38,11.02,14,39
serie_a,2019-20,Atalanta BC,59.06,105.1,-46.04,16,77
serie_a,2019-20,Bologna FC 1909,67.04,28.68,38.36,19,42
serie_a,2019-20,Brescia Calcio,18.65,0.1,18.55,16,21
serie_a,2019-20,Cagliari Calcio,40.1,18.86,21.24,18,32
serie_a,2019-20,FC Internazionale Milano,191.72,66.74,124.98,18,48
serie_a,2019-20,Genoa CFC,50.37,66.25,-15.88,31,76
serie_a,2019-20,Hellas Verona FC,21.19,43.67,-22.48,35,56
serie_a,2019-20,Juventus FC,230.5,203.14,27.36,10,24
serie_a,2019-20,Parma Calcio 1913,23.31,17.16,6.15,29,72
serie_a,2019-20,SPAL 2013 Ferrara,26.15,38.45,-12.3,22,36
serie_a,2019-20,SS Lazio,46.95,35.35,11.6,17,36
serie_a,2019-20,SSC Napoli,204.72,47.58,157.14,19,43
serie_a,2019-20,Torino FC,27.8,24.4,3.4,12,40
serie_a,2019-20,UC Sampdoria,65.25,74.59,-9.34,19,45
serie_a,2019-20,US Lecce,6.2,0.45,5.75,21,37
serie_a,2019-20,US Sassuolo Calcio,66.33,51.95,14.38,19,52
serie_a,2019-20,Udinese Calcio,12.6,59.88,-47.28,12,41
serie_a,2020-21,AC Milan,34.42,47.95,-13.53,15,26
serie_a,2020-21,ACF Fiorentina,55.3,59.89,-4.59,13,44
serie_a,2020-21,AS Roma,72.1,48.0,24.1,14,31
serie_a,2020-21,Atalanta BC,60.74,74.5,-13.76,13,58
serie_a,2020-21,Benevento Calcio,11.6,1.0,10.6,11,23
serie_a,2020-21,Bologna FC 1909,3.15,5.0,-1.85,8,28
serie_a,2020-21,Cagliari Calcio,34.18,41.75,-7.57,14,32
serie_a,2020-21,FC Crotone,5.49,0.0,5.49,19,32
serie_a,2020-21,FC Internazionale Milano,125.5,82.55,42.95,11,40
serie_a,2020-21,Genoa CFC,62.68,64.59,-1.91,27,60
serie_a,2020-21,Hellas Verona FC,18.95,5.1,13.85,22,51
serie_a,2020-21,Juventus FC,154.4,107.51,46.89,11,20
serie_a,2020-21,Parma Calcio 1913,104.33,4.3,100.03,26,50
serie_a,2020-21,SS Lazio,41.62,7.85,33.77,9,28
serie_a,2020-21,SSC Napoli,77.25,122.06,-44.81,5,38
serie_a,2020-21,Spezia Calcio,5.12,1.96,3.16,20,28
serie_a,2020-21,Torino FC,45.65,27.0,18.65,9,30
serie_a,2020-21,UC Sampdoria,17.75,12.1,5.65,15,37
serie_a,2020-21,US Sassuolo Calcio,28.5,62.36,-33.85,10,41
serie_a,2020-21,Udinese Calcio,21.5,31.55,-10.05,15,28
serie_a,2021-22,AC Milan,78.7,5.5,73.2,13,27
serie_a,2021-22,ACF Fiorentina,59.8,105.95,-46.15,8,42
serie_a,2021-22,AS Roma,126.55,14.02,112.53,17,39
serie_a,2021-22,Atalanta BC,66.0,47.7,18.3,11,67
serie_a,2021-22,Bologna FC 1909,29.41,25.6,3.81,12,34
serie_a,2021-22,Cagliari Calcio,14.6,5.2,9.4,14,28
serie_a,2021-22,Empoli FC,10.2,27.5,-17.3,23,38
serie_a,2021-22,FC Internazionale Milano,40.5,203.55,-163.05,10,35
serie_a,2021-22,Genoa CFC,44.5,18.6,25.9,30,64
serie_a,2021-22,Hellas Verona FC,39.3,37.7,1.6,18,42
serie_a,2021-22,Juventus FC,126.5,61.0,65.5,9,17
serie_a,2021-22,SS Lazio,13.8,8.9,4.9,9,34
serie_a,2021-22,SSC Napoli,22.2,3.2,19.0,5,27
serie_a,2021-22,Spezia Calcio,25.32,5.7,19.61,30,41
serie_a,2021-22,Torino FC,13.3,16.5,-3.2,12,30
serie_a,2021-22,UC Sampdoria,14.51,9.15,5.36,18,40
serie_a,2021-22,US Salernitana 1919,14.35,0.0,14.35,36,50
serie_a,2021-22,US Sassuolo Calcio,38.15,22.6,15.56,11,46
serie_a,2021-22,Udinese Calcio,9.3,79.62,-70.32,12,29
serie_a,2021-22,Venezia FC,22.09,0.2,21.89,21,34
serie_a,2022-23,AC Milan,48.67,13.05,35.62,9,25
serie_a,2022-23,AC Monza,23.9,0.0,23.9,24,33
serie_a,2022-23,ACF Fiorentina,36.7,45.8,-9.1,10,36
serie_a,2022-23,AS Roma,9.0,67.1,-58.1,10,30
serie_a,2022-23,Atalanta BC,98.0,80.72,17.28,8,74
serie_a,2022-23,Bologna FC 1909,34.5,45.7,-11.2,17,30
serie_a,2022-23,Empoli FC,14.2,31.42,-17.22,22,50
serie_a,2022-23,FC Internazionale Milano,38.6,8.4,30.2,10,42
serie_a,2022-23,Hellas Verona FC,39.5,34.6,4.9,27,40
serie_a,2022-23,Juventus FC,102.4,107.4,-5.0,11,24
serie_a,2022-23,SS Lazio,39.7,36.13,3.57,12,36
serie_a,2022-23,SSC Napoli,68.05,80.95,-12.9,12,30
serie_a,2022-23,Spezia Calcio,15.9,32.35,-16.45,18,33
serie_a,2022-23,Torino FC,28.35,50.68,-22.32,16,34
serie_a,2022-23,UC Sampdoria,6.0,34.6,-28.6,29,49
serie_a,2022-23,US Cremonese,26.3,0.0,26.3,26,41
serie_a,2022-23,US Lecce,6.85,3.55,3.3,26,28
serie_a,2022-23,US Salernitana 1919,45.33,21.1,24.23,26,52
serie_a,2022-23,US Sassuolo Calcio,48.0,75.0,-27.0,14,50
serie_a,2022-23,Udinese Calcio,52.5,61.7,-9.2,18,29
