League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-11 20:54:17,2025-11-12 19:40,Miami Heat,Cleveland Cavaliers,No,1086.5,Yes,-111.33,-110.67,-221.0,180.0,-110.33,-111.67,East,Southeast,East,Central,-110.0,-110.0,-218.0,180.0,-110.0,-110.0,-110.0,-110.0,-230.0,190.0,-108.0,-112.0,,,,,,,,,,,,,,,,,,,-114.0,-112.0,-215.0,170.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-11 20:54:17,2025-11-12 20:10,San Antonio Spurs,Golden State Warriors,No,1490.6,Yes,-110.67,-109.33,-211.0,173.0,-110.67,-109.33,West,Southwest,West,Pacific,-110.0,-110.0,-218.0,180.0,-110.0,-110.0,-112.0,-108.0,-198.0,166.0,-112.0,-108.0,,,,,,,-110.0,-110.0,-217.0,173.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-11 20:54:17,2025-11-12 20:10,Houston Rockets,Washington Wizards,No,1220.3,Yes,-111.14,-108.43,-1619.4,857.6,-110.57,-109.43,West,Southwest,East,Southeast,-110.0,-110.0,-1600.0,900.0,-110.0,-110.0,-115.0,-105.0,-1800.0,980.0,-114.0,-106.0,,,,,,,-110.0,-110.0,-1667.0,858.0,-110.0,-110.0,-105.0,-115.0,-1600.0,800.0,-110.0,-110.0,-112.0,-113.0,-1430.0,750.0,-113.0,-113.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-11 20:54:17,2025-11-12 20:10,New Orleans Pelicans,Portland Trail Blazers,No,2062.1,Yes,-111.14,-108.57,242.0,-303.6,-110.57,-109.43,West,Southwest,West,Northwest,-115.0,-105.0,250.0,-310.0,-110.0,-110.0,-108.0,-112.0,245.0,-300.0,-115.0,-105.0,,,,,,,-110.0,-110.0,240.0,-313.0,-110.0,-110.0,-115.0,-105.0,250.0,-300.0,-110.0,-110.0,-114.0,-112.0,225.0,-295.0,-112.0,-114.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-11 20:54:17,2025-11-12 20:40,Dallas Mavericks,Phoenix Suns,No,885.4,Yes,-110.0,-110.0,-123.0,102.67,-110.0,-110.0,West,Southwest,West,Pacific,-110.0,-110.0,-122.0,102.0,-110.0,-110.0,-110.0,-110.0,-122.0,104.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-125.0,102.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-11 20:54:17,2025-11-12 21:40,Oklahoma City Thunder,Los Angeles Lakers,No,1182.5,Yes,-111.2,-108.2,-263.33,211.67,-110.4,-109.4,West,Northwest,West,Pacific,-115.0,-105.0,-265.0,215.0,-110.0,-110.0,-110.0,-110.0,-260.0,215.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,-115.0,-110.0,-265.0,205.0,-115.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-11 20:54:17,2025-11-12 22:10,Sacramento Kings,Atlanta Hawks,No,2086.4,Yes,-111.0,-109.0,137.0,-163.0,-111.0,-109.0,West,Pacific,East,Southeast,-110.0,-110.0,136.0,-162.0,-110.0,-110.0,-112.0,-108.0,138.0,-164.0,-112.0,-108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-11 20:54:17,2025-11-12 22:40,Los Angeles Clippers,Denver Nuggets,No,839.4,Yes,-112.5,-107.5,112.0,-132.5,-110.0,-110.0,West,Pacific,West,Northwest,-115.0,-105.0,114.0,-135.0,-110.0,-110.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-11 20:54:17,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-11 20:54:17,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-11 20:54:17,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,
