League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-10-28 21:56:31,2025-10-29 20:30,Dallas Mavericks,Indiana Pacers,No,763.9,Yes,-110.25,-111.25,-322.0,249.75,-109.75,-111.75,West,Southwest,East,Central,-108.0,-112.0,-290.0,235.0,-105.0,-115.0,-110.0,-110.0,-340.0,270.0,-110.0,-110.0,-113.0,-113.0,-335.0,245.0,-114.0,-112.0,,,,,,,,,,,,,-110.0,-110.0,-323.0,249.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 21:56:31,2025-10-29 21:00,Denver Nuggets,New Orleans Pelicans,No,1081.8,Yes,-110.75,-110.5,-576.5,419.0,-111.0,-110.5,West,Northwest,West,Southwest,-108.0,-112.0,-520.0,400.0,-110.0,-110.0,-110.0,-110.0,-700.0,500.0,-110.0,-110.0,-115.0,-110.0,-530.0,380.0,-114.0,-112.0,,,,,,,,,,,,,-110.0,-110.0,-556.0,396.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 21:56:31,2025-10-29 21:00,Utah Jazz,Portland Trail Blazers,Yes,635.0,Yes,-112.25,-109.25,113.0,-137.0,-110.0,-111.25,West,Northwest,West,Northwest,-110.0,-110.0,120.0,-142.0,-108.0,-112.0,-115.0,-105.0,114.0,-135.0,-110.0,-110.0,-114.0,-112.0,108.0,-136.0,-112.0,-113.0,,,,,,,,,,,,,-110.0,-110.0,110.0,-135.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 21:56:31,2025-10-29 21:40,Minnesota Timberwolves,Los Angeles Lakers,No,1524.7,Yes,-111.33,-108.44,-265.67,212.67,-111.22,-108.78,West,Northwest,West,Pacific,-112.0,-108.0,-250.0,205.0,-110.0,-110.0,-105.0,-115.0,-258.0,210.0,-110.0,-110.0,-109.0,-117.0,-286.0,220.0,-114.0,-112.0,-110.0,-110.0,-280.0,230.0,-115.0,-105.0,-115.0,-105.0,-250.0,200.0,-115.0,-105.0,-110.0,-110.0,-270.0,211.0,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,-115.0,-105.0,,,-110.0,-110.0
NBA,2025-10-28 21:56:31,2025-10-29 22:10,Phoenix Suns,Memphis Grizzlies,No,1262.6,Yes,-113.67,-108.33,-108.33,-111.67,-109.0,-113.0,West,Pacific,West,Southwest,-108.0,-112.0,-108.0,-108.0,-105.0,-115.0,-115.0,-105.0,-105.0,-115.0,-110.0,-110.0,-118.0,-108.0,-112.0,-112.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 21:56:31,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-111.0,-111.0,-142.0,117.33,-111.0,-111.0,East,Atlantic,East,Central,,,,,,,-110.0,-110.0,-142.0,120.0,-110.0,-110.0,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,,,,,,,,,,,,,-110.0,-110.0,-141.0,115.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 21:56:31,2025-12-25 14:30,Oklahoma City Thunder,San Antonio Spurs,No,419.4,No,-110.67,-111.0,-426.67,320.0,-109.0,-113.0,West,Northwest,West,Southwest,,,,,,,-110.0,-110.0,-410.0,320.0,-105.0,-115.0,-112.0,-113.0,-420.0,310.0,-112.0,-114.0,,,,,,,,,,,,,-110.0,-110.0,-450.0,330.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 21:56:31,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-112.0,-110.0,-199.33,162.0,-111.33,-110.67,West,Pacific,West,Southwest,,,,,,,-112.0,-108.0,-205.0,170.0,-110.0,-110.0,-114.0,-112.0,-200.0,160.0,-114.0,-112.0,,,,,,,,,,,,,-110.0,-110.0,-193.0,156.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 21:56:31,2025-12-25 20:00,Los Angeles Lakers,Houston Rockets,No,1375.3,Yes,-111.0,-109.0,-145.5,120.5,-112.5,-107.5,West,Pacific,West,Southwest,,,,,,,-112.0,-108.0,-148.0,124.0,-115.0,-105.0,,,,,,,,,,,,,,,,,,,-110.0,-110.0,-143.0,117.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 21:56:31,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-110.67,-111.33,-221.0,178.0,-112.33,-109.67,West,Northwest,West,Northwest,,,,,,,-105.0,-115.0,-225.0,185.0,-115.0,-105.0,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,,,,,,,,,,,,,-110.0,-110.0,-218.0,174.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 21:56:31,2026-01-19 13:00,Atlanta Hawks,Milwaukee Bucks,No,668.3,No,-118.0,-102.0,-218.0,180.0,-110.0,-110.0,East,Southeast,East,Central,,,,,,,-118.0,-102.0,-218.0,180.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 21:56:31,2026-01-19 14:30,Cleveland Cavaliers,Oklahoma City Thunder,No,951.7,No,102.0,-122.0,-112.0,-108.0,-110.0,-110.0,East,Central,West,Northwest,,,,,,,102.0,-122.0,-112.0,-108.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 21:56:31,2026-01-19 17:00,New York Knicks,Dallas Mavericks,No,1374.4,No,-120.0,100.0,-258.0,210.0,-110.0,-110.0,East,Atlantic,West,Southwest,,,,,,,-120.0,100.0,-258.0,210.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 21:56:31,2026-01-19 20:00,Detroit Pistons,Boston Celtics,No,613.5,Yes,-110.0,-110.0,-198.0,164.0,-110.0,-110.0,East,Central,East,Atlantic,,,,,,,-110.0,-110.0,-198.0,164.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
